cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Baker2001-kz,ARTICLE,"Patriotism or opinion leadership?: The nature and origins of the ""rally 'round the flag"" effect",2001-10,10.1177/0022002701045005006,True,True,200,Patriotism or Opinion Leadership?,2001,0.52,yes,,,,,,,,,,,,,
Baniamin2025-rx,ARTICLE,Institutional trust and its connection with governance quality and performance: Understanding the East and Southeast Asian paradox,2025-03-13,10.1177/20578911251326142,True,True,200,Institutional trust and its connection with governance quality and performance: Understanding the East and Southeast Asian paradox,2025,1.0,yes,,,,,,,,,,,,,
Baum2002-tc,ARTICLE,The constituent foundations of the rally-round-the-flag phenomenon,2002-06,10.1111/1468-2478.00232,True,True,200,The Constituent Foundations of the Rally-Round-the-Flag Phenomenon,2002,1.0,yes,,,,,,,,,,,,,
Bouckaert2003-ky,ARTICLE,Comparing measures of citizen trust and user satisfaction as indicators of ‘good governance’: Difficulties in linking trust and satisfaction indicators,2003-09,10.1177/0020852303693003,True,True,200,Comparing Measures of Citizen Trust and User Satisfaction as Indicators of                ‘Good Governance’: Difficulties in Linking Trust and                Satisfaction Indicators,2003,0.91,yes,,,,,,,,,,,,,
Chu2008-st,BOOK,How east Asians view democracy,2008-08-08,10.7312/chu-14534,True,True,200,How East Asians View Democracy,2008,1.0,yes,,,,,,,,,,,,,
Dalton2005-su,ARTICLE,Authority orientations and democratic attitudes: A test of the ‘Asian values’ hypothesis,2005-08,10.1017/s1468109905001842,True,True,200,Authority Orientations and Democratic Attitudes: A Test of the ‘Asian Values’ Hypothesis,2005,1.0,yes,,,,,,,,,,,,,
Fiorina1978-wf,ARTICLE,Economic retrospective voting in American national elections: A micro-analysis,1978-05,10.2307/2110623,True,True,200,Economic Retrospective Voting in American National Elections: A Micro-Analysis,1978,1.0,yes,,,,,,,,,,,,,
Freedom-House2025-gx,BOOK,Freedom in the world 2022: The annual survey of political rights and civil liberties,2025-06-19,10.5040/9798216424611,True,True,200,Freedom in the World 2022,2023,0.46,no,,,,,,,,,,,,,
Guriev2019-xj,ARTICLE,Informational autocrats,2019-11-01,10.1257/jep.33.4.100,True,True,200,Informational Autocrats,2019,1.0,yes,,,,,,,,,,,,,
Guriev2020-cu,ARTICLE,A theory of informational autocracy,2020-06,10.1016/j.jpubeco.2020.104158,True,True,200,A theory of informational autocracy,2020,1.0,yes,,,,,,,,,,,,,
