country_name,wave_label,wave,mean_ame_governance,mean_ame_procedural,mean_ame_substantive,mean_se_governance,mean_se_procedural,mean_se_substantive,n_items_governance,n_items_procedural,n_items_substantive,n_sig_governance,n_sig_procedural,n_sig_substantive,mean_n_governance,mean_n_procedural,mean_n_substantive
Australia,W6,6,0.024774981756752763,0.004338363156599256,-0.03345170806995085,0.025736121716319477,0.02601156875978433,0.02362905374127068,4,8,4,1,0,0,1014.5,1014.5,1014.5
Cambodia,W3,3,-0.035140756450257424,0.05580347843068573,-0.07646620041111465,0.03335110431914354,0.03697536664230716,0.036035411425093374,4,8,4,1,3,3,886.75,886.75,886.75
Cambodia,W4,4,-0.022905174097946752,0.05169378555269608,-0.08048239700744458,0.025363863782008306,0.029806808513203324,0.030782441632567353,4,8,4,2,5,2,898.75,898.75,898.75
Cambodia,W6,6,-0.03165831046336222,0.056446949033979225,-0.08123558760459935,0.04808424068745342,0.06323296774195078,0.057174926134950635,4,8,4,1,4,1,791.75,791.75,791.75
Hong Kong,W3,3,-0.10719003361390876,0.09014299745784793,-0.07309596130178764,0.04671587359986587,0.04034834111385042,0.04908740631266151,4,8,4,3,5,1,414.25,414.25,414.25
Hong Kong,W4,4,-0.06020159457274177,0.11440449199983602,-0.16860738942692993,0.057294933011641444,0.05676296709085636,0.06716528324975626,4,8,4,0,4,4,186.25,186.25,186.25
Indonesia,W3,3,0.024118881213711016,-0.02024373380681774,0.016368586399924574,0.03001727530678882,0.023997848243529067,0.026609771628106044,4,8,4,1,0,0,1010.25,1010.25,1010.25
Indonesia,W4,4,-0.003923413207640173,0.007418844349878097,-0.010914275492115799,0.027532229816591994,0.021650017786273998,0.028275772494137864,4,8,4,0,1,0,1010.75,1010.75,1010.75
Indonesia,W6,6,-0.0186384313328253,0.00740556520971999,0.0038273009133869907,0.023867212935914366,0.023170778448358083,0.027528586866474046,4,8,4,1,2,0,1254.75,1254.75,1254.75
Japan,W3,3,-0.03431362167247757,0.0073200445440179795,0.019673532584441038,0.027331105103486235,0.019201855464435803,0.022976450436765442,4,8,4,1,1,1,1297.25,1297.25,1297.25
Japan,W4,4,-0.026144187381144532,0.02587183781296384,-0.025599488244782313,0.035090034719490563,0.02700899298958263,0.030770138943634527,4,8,4,0,2,1,713.5,713.5,713.5
Malaysia,W3,3,-0.012045935616824752,0.05476812955095326,-0.0974903234850814,0.05215354089779298,0.048440107057439036,0.04482804899683778,4,8,4,2,2,2,566,566,566
Malaysia,W4,4,-0.029651958304614635,0.03730575444148215,-0.04495955057835016,0.042596350442501686,0.03826096694301498,0.03829325439728028,4,8,4,2,2,1,654.75,654.75,654.75
Mongolia,W3,3,-0.0029661235952633865,-0.0014418265171488483,0.005849776629560877,0.02869202212683529,0.02699667465899347,0.02590392675296918,4,8,4,0,0,0,999,999,999
Mongolia,W4,4,-0.011945937733764187,-0.003043553771412332,0.018033045276589166,0.029427862263076737,0.028275177047547694,0.025630707941756863,4,8,4,0,0,0,1024.25,1024.25,1024.25
Mongolia,W6,6,-0.01448344473508595,0.0214228189288437,-0.028362193122601177,0.039018743037471465,0.03576113991981333,0.02638144823422521,4,8,4,1,2,1,821,821,821
Myanmar,W4,4,-0.03611985983817891,0.06737200243637538,-0.09862414503457045,0.02948225351493524,0.030590999773425085,0.03484963990760269,4,8,4,1,5,4,725.75,725.75,725.75
Philippines,W3,3,-0.032006709644169004,0.0255310922275242,-0.019055474810878888,0.030939074514452686,0.03077955465057167,0.030285826350625808,4,8,4,1,3,1,746.75,746.75,746.75
Philippines,W4,4,-0.03664979315155559,0.029059822845258116,-0.021469852538960225,0.03281983751292658,0.03662953029310726,0.03642245514612079,4,8,4,0,0,0,881.25,881.25,881.25
Philippines,W6,6,-0.030357861124818336,0.007921309327265268,0.014515242470287796,0.02759052981372017,0.029367199401773222,0.03405677802839216,4,8,4,1,3,0,857,857,857
Singapore,W4,4,-0.010030880767002258,0.009025420379807109,-0.008019959992611358,0.05271329799015397,0.045329072355003434,0.05048241983739947,4,8,4,0,3,0,501.75,501.75,501.75
South Korea,W3,3,0.007580845899739298,0.01335271395371446,-0.03428627380716828,0.035400623531063616,0.029137943984091766,0.03031347784486718,4,8,4,0,2,0,731.75,731.75,731.75
South Korea,W4,4,-0.02656865503081148,0.012101106024535511,0.0023664429817394595,0.034164347028451295,0.03060134507626815,0.02772930204776875,4,8,4,1,1,0,766,766,766
South Korea,W6,6,0.032050973448212894,-0.0014701747144982465,-0.02911062401921643,0.031684961825617926,0.026192033910887633,0.026960394190178975,4,8,4,0,0,2,868.25,868.25,868.25
Taiwan,W3,3,-0.08485349133666349,0.038482296235074966,0.007888898866513467,0.02811216160817913,0.024668310035819114,0.02954886281535307,4,8,4,3,4,0,1101.25,1101.25,1101.25
Taiwan,W4,4,-0.07869869619992659,0.044438763667064216,-0.010178831134202409,0.026050560303565104,0.02223960903522755,0.025886250466876752,4,8,4,3,7,0,1116,1116,1116
Taiwan,W6,6,0.01764451495824184,-0.02167244407841621,0.02570037319859087,0.02997838520193157,0.02704136046300827,0.02854943640496207,4,8,4,2,2,1,1010,1010,1010
Thailand,W3,3,-0.0237014595675207,0.005170208710095421,0.013361042147329368,0.030739281806224775,0.024283503513741197,0.03224389185274825,4,8,4,1,1,0,813.5,813.5,813.5
Thailand,W4,4,-0.00725842049183208,0.0391878826252815,-0.07111734475873073,0.046826613178845206,0.036839621743034554,0.047029584546013026,4,8,4,1,1,2,388.5,388.5,388.5
Thailand,W6,6,0.013156236856231598,0.0748828045364462,-0.16292184592912368,0.04766864664304928,0.043705969736438914,0.055291514690825994,4,8,4,0,3,3,329.5,329.5,329.5
