set,item,item_label,ame,se,z,p,ci_low,ci_high,ame_pct,sig,item_type,item_subtype
Set1,Reduce gap rich/poor,Reduce gap rich/poor,-0.02394143849455854,0.010765812287787346,-2.223839488797099,0.026159245504523466,-0.045042430578621735,-0.0028404464104953425,-2.4,*,substantive,redistribution
Set1,Free elections,Free elections,-0.0020987443050373374,0.014221144491836805,-0.1475791421880324,0.8826749169552238,-0.029972187509037476,0.0257746988989628,-0.2,,procedural,electoral
Set1,No waste,No waste,-0.006090332353877315,0.01175844357511516,-0.5179539549576541,0.604490395748362,-0.02913688176110303,0.016956217053348398,-0.6,,governance,quality
Set1,Free expression,Free expression,0.03213051515347275,0.015402921339029542,2.0860013789758876,0.036978498150425206,0.0019407893289748457,0.06232024097797065,+3.2,*,procedural,liberal
Set2,Legislature oversight,Legislature oversight,0.009374383873460687,0.012075776068836593,0.7762965974214059,0.43757388165467614,-0.014294137221459032,0.03304290496838041,+0.9,,procedural,accountability
Set2,Basic necessities,Basic necessities,-0.03989049365766763,0.008928553718802535,-4.467744151403011,7.904876764173064e-6,-0.057390458946520596,-0.02239052836881466,-4.0,***,substantive,welfare
Set2,Organize groups,Organize groups,0.03908850431100827,0.014593431740824139,2.6784998213724345,0.0073952771608377195,0.01048537809899296,0.06769163052302359,+3.9,**,procedural,liberal
Set2,Quality services,Quality services,-0.0085723945268014,0.018091038360974768,-0.47384756782636706,0.6356086109982045,-0.04403082971431194,0.026886040660709147,-0.9,,governance,quality
Set3,Law and order,Law and order,-0.05515985075748636,0.012041453282100063,-4.580830026512077,4.631341431588346e-6,-0.07876109919040249,-0.03155860232457024,-5.5,***,governance,quality
Set3,Media freedom,Media freedom,0.04188728595335627,0.006318776990289228,6.629017928268263,3.379275422574435e-11,0.029502483052389387,0.05427208885432316,+4.2,***,procedural,liberal
Set3,Jobs for all,Jobs for all,-0.01760410021436775,0.015046336424663095,-1.1699924631162784,0.24200400190155893,-0.04709491960670742,0.011886719177971915,-1.8,,substantive,welfare
Set3,Party competition,Party competition,0.030876665018498443,0.018682681041158153,1.6526891911539254,0.09839413532875002,-0.005741389822171539,0.06749471985916843,+3.1,†,procedural,electoral
Set4,Protest freedom,Protest freedom,0.019476495493776128,0.014326289411584528,1.3594933715374367,0.1739903014967988,-0.008603031752929546,0.047556022740481804,+1.9,,procedural,liberal
Set4,Clean politics,Clean politics,-0.012575038947574746,0.010320605449147965,-1.218440043031865,0.22305679607416404,-0.03280342562790476,0.007653347732755266,-1.3,,governance,quality
Set4,Court protection,Court protection,0.01529696119538851,0.011908737004951058,1.2845158297667334,0.19896152842110393,-0.008044163334315563,0.038638085725092586,+1.5,,procedural,accountability
Set4,Unemployment aid,Unemployment aid,-0.022198417741589843,0.013256152214416849,-1.6745747470708545,0.09401769741473984,-0.04818047608184686,0.0037836405986671796,-2.2,†,substantive,welfare
W2,Elections,Elections,0.02216298377868122,0.014059586514705256,1.5763609943649786,0.11494263222939437,-0.0053938057901410826,0.04971977334750352,+2.2,,procedural,electoral
W2,Criticize power,Criticize power,0.020213048640723767,0.01593950889740685,1.2681098753307367,0.20475871540144758,-0.011028388798193657,0.05145448607964119,+2.0,,procedural,liberal
W2,Income equality,Income equality,-0.016408080019673497,0.009029521218460497,-1.8171594730989535,0.06919269842344225,-0.03410594160785607,0.0012897815685090769,-1.6,†,substantive,redistribution
W2,Basic necessities,Basic necessities,-0.02596795239973136,0.01091956054261453,-2.378113322270542,0.017401477143732413,-0.04737029106325584,-0.004565613736206883,-2.6,*,substantive,welfare
