item_label,item_type,item_subtype,proc_class,estimate,std.error,statistic,p.value,ame_pp,se_pp
Clean politics,governance,quality,governance,0.006833267240347157,0.011671211719127852,0.5854805314814204,0.5582246534569357,0.6833267240347157,1.1671211719127852
Law and order,governance,order,governance,-0.01531586856868242,0.010414904033860674,-1.4705722221623794,0.14140684072285153,-1.531586856868242,1.0414904033860675
No waste,governance,quality,governance,0.01746134186554975,0.009510361749315589,1.8360334050180955,0.06635271630285294,1.746134186554975,0.9510361749315589
Quality services,governance,quality,governance,-0.03343640593503913,0.011564517533051103,-2.891292770275865,0.003836605245296863,-3.3436405935039133,1.1564517533051104
Free elections,procedural,electoral,participatory,-0.026446182201418807,0.0113069090236912,-2.338940036220908,0.019338537079320765,-2.6446182201418806,1.13069090236912
Party competition,procedural,electoral,participatory,0.012898858706179916,0.009570315215327257,1.3477987313857602,0.17772312606636542,1.2898858706179916,0.9570315215327257
Court protection,procedural,liberal,protective,0.004807417017510941,0.010107778976006029,0.47561556588473564,0.6343482837825807,0.4807417017510941,1.010777897600603
Free expression,procedural,liberal,protective,0.019496311301003873,0.010730729028155316,1.8168673582055235,0.06923742585410377,1.9496311301003872,1.0730729028155317
Legislature oversight,procedural,oversight,protective,0.025100656635011757,0.008875670658114348,2.8280292951230837,0.004683552041869144,2.5100656635011758,0.8875670658114349
Media freedom,procedural,liberal,protective,0.04640468743614663,0.00995813052869178,4.659979832805315,3.162403667846203e-6,4.640468743614663,0.995813052869178
Organize groups,procedural,liberal,protective,0.016603597128794768,0.009065863913256221,1.8314412490261163,0.06703470926531323,1.6603597128794767,0.9065863913256221
Protest freedom,procedural,liberal,protective,0.02230281362664466,0.009438595355018174,2.3629377876430553,0.01813071292839266,2.230281362664466,0.9438595355018173
Basic necessities,substantive,welfare,substantive,-0.008267847828767378,0.011036036248781312,-0.7491682377973686,0.4537558104477335,-0.8267847828767377,1.1036036248781311
Jobs for all,substantive,welfare,substantive,-0.043987677573644114,0.010998946470690225,-3.9992628103847587,6.354009135912535e-5,-4.3987677573644115,1.0998946470690225
Reduce gap rich/poor,substantive,redistribution,substantive,-0.010511470965134816,0.009412756933555259,-1.1167260601049607,0.2641114717545724,-1.0511470965134817,0.9412756933555259
Unemployment aid,substantive,welfare,substantive,-0.03394349788450271,0.009317973298552475,-3.6427983636501464,2.696900945825187e-4,-3.394349788450271,0.9317973298552474
