cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Anderson1997-dh,ARTICLE,Political institutions and satisfaction with democracy: A cross-national analysis of consensus and majoritarian systems,1997-03,10.2307/2952259,True,True,200,Political Institutions and Satisfaction with Democracy: A Cross-National Analysis of Consensus and Majoritarian Systems,1997,1.0,yes,,,,,,,,,,,,,
Anderson2002-cv,ARTICLE,"Winning, losing and political trust in America",2002-04,10.1017/s0007123402000133,True,True,200,"Winning, Losing and Political Trust in America",2002,1.0,yes,,,,,,,,,,,,,
Anderson2005-uk,BOOK,Losers' consent: Elections and democratic legitimacy. Comparative politics,2005-01-01,10.1093/0199276382.001.0001,True,True,200,Losers' Consent,2005,0.33,yes,,,,,,,,,,,,,
Blais2025-qq,ARTICLE,Losers’ consent in a deliberative assembly,2025-06,10.1017/s0008423924000775,True,True,200,Losers’ Consent in a Deliberative Assembly,2025,1.0,yes,,,,,,,,,,,,,
Bratton2001-ug,ARTICLE,Support for democracy in Africa: Intrinsic or instrumental?,2001,10.1017/s0007123401000175,True,True,200,Support for Democracy in Africa: Intrinsic or Instrumental?,2001,1.0,yes,,,,,,,,,,,,,
Bryan2023-eu,ARTICLE,What kind of democracy do we all support? How partisan interest impacts a citizen’s conceptualization of democracy,2023-09,10.1177/00104140231152784,True,True,200,What Kind of Democracy Do We All Support? How Partisan Interest Impacts a Citizen’s Conceptualization of Democracy,2023,1.0,yes,,,,,,,,,,,,,
Cameron2008-aw,ARTICLE,Bootstrap-based improvements for inference with clustered errors,2008-08,10.1162/rest.90.3.414,True,True,200,Bootstrap-Based Improvements for Inference with Clustered Errors,2008,1.0,yes,,,,,,,,,,,,,
Canache2012-fb,ARTICLE,"Citizens’ conceptualizations of democracy: Structural complexity, substantive content, and political significance",2012-09,10.1177/0010414011434009,True,True,200,Citizens’ Conceptualizations of Democracy,2012,0.54,yes,,,,,,,,,,,,,
Chu2008-fk,BOOK,How East Asians View Democracy,2008,10.7312/chu-14534,True,True,200,How East Asians View Democracy,2008,1.0,yes,,,,,,,,,,,,,
Chu2010-nb,ARTICLE,Solving an Asian Puzzle,2010,10.1353/jod.2010.0009,True,True,200,The Meanings of Democracy: Solving an Asian Puzzle,2010,0.64,yes,,,,,,,,,,,,,
Claassen2020-hk,ARTICLE,Does public support help democracy survive?,2020-01,10.1111/ajps.12452,True,True,200,Does Public Support Help Democracy Survive?,2020,1.0,yes,,,,,,,,,,,,,
Cohen2023-sm,ARTICLE,Winners’ consent? Citizen commitment to democracy when illiberal candidates win elections,2023-04,10.1111/ajps.12690,True,True,200,Winners’ Consent? Citizen Commitment to Democracy When Illiberal Candidates Win Elections,2023,1.0,yes,,,,,,,,,,,,,
Dalton2007-ei,BOOK,The oxford handbook of political behavior,2007-08-09,10.1093/oxfordhb/9780199270125.001.0001,True,True,200,The Oxford Handbook of Political Behavior,2007,1.0,yes,,,,,,,,,,,,,
Diamond1999-wd,BOOK,Developing democracy: Toward consolidation,1999-05-07,10.56021/9780801860140,True,True,200,Developing Democracy,1999,0.66,yes,,,,,,,,,,,,,
Diamond2015-yb,ARTICLE,Facing up to the democratic recession,2015,10.1353/jod.2015.0009,True,True,200,Facing Up to the Democratic Recession,2015,1.0,yes,,,,,,,,,,,,,
Esaiasson2011-po,ARTICLE,Electoral losers revisited – How citizens react to defeat at the ballot box,2011-03,10.1016/j.electstud.2010.09.009,True,True,200,Electoral losers revisited – How citizens react to defeat at the ballot box,2011,1.0,yes,,,,,,,,,,,,,
Esaiasson2020-av,ARTICLE,"The moment you decide, you divide: How politicians assess procedural fairness",2020-08,10.1111/1475-6765.12370,True,True,200,"The moment you decide, you divide: How politicians assess procedural fairness",2020,1.0,yes,,,,,,,,,,,,,
Evans2006-np,ARTICLE,The political conditioning of economic perceptions,2006-02,10.1111/j.1468-2508.2006.00380.x,True,True,200,The Political Conditioning of Economic Perceptions,2006,1.0,yes,,,,,,,,,,,,,
Ferrin2016-se,BOOK,How Europeans view and evaluate democracy,2016-03-17,10.1093/acprof:oso/9780198766902.001.0001,True,True,200,How Europeans View and Evaluate Democracy,2016,1.0,yes,,,,,,,,,,,,,
