Variable,Country,Rank,Slope,SE,z-score,Waves
Government withholds information,Korea,1 / 13,0.1137***,0.0068,2.47,5
Government withholds information,Philippines,2 / 13,0.0366***,0.0093,1.00,5
Government withholds information,Cambodia,3 / 13,0.0034,0.0106,0.38,4
Government withholds information,Vietnam,4 / 13,0.0009,0.0104,0.33,5
Government withholds information,Taiwan,5 / 13,-0.0013,0.0070,0.29,5
Government withholds information,Regional mean,—,-0.0165,0.0528,—,—
Personally witnessed corruption,Korea,1 / 12,0.0875***,0.0025,2.27,6
Personally witnessed corruption,Cambodia,2 / 12,0.0489***,0.0049,0.94,4
Personally witnessed corruption,Indonesia,3 / 12,0.0441***,0.0029,0.78,5
Personally witnessed corruption,Mongolia,4 / 12,0.0329***,0.0027,0.39,6
Personally witnessed corruption,Malaysia,5 / 12,0.0293***,0.0052,0.27,4
Personally witnessed corruption,Regional mean,—,0.0215,0.0290,—,—
