cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Acemoglu2024-an,ARTICLE,(successful) democracies breed their own support,2024-05-16,10.1093/restud/rdae051,True,True,200,(Successful) Democracies Breed Their Own Support,2025,1.0,no,,,,,,,,,,,,,
Bomhoff2012-oq,ARTICLE,"East Asia remains different: A comment on the index of “self-expression values,” by Inglehart and Welzel",2012-04,10.1177/0022022111435096,True,True,200,East Asia Remains Different,2012,0.43,yes,,,,,,,,,,,,,
Chu2020-ir,ARTICLE,A lost decade for third-wave democracies?,2020,10.1353/jod.2020.0029,True,True,200,A Lost Decade for Third-Wave Democracies?,2020,1.0,yes,,,,,,,,,,,,,
Claassen2020-hk,ARTICLE,Does public support help democracy survive?,2020-01,10.1111/ajps.12452,True,True,200,Does Public Support Help Democracy Survive?,2020,1.0,yes,,,,,,,,,,,,,
Claassen2025-xl,ARTICLE,Conceptualizing and measuring support for democracy: A new approach,2025-05,10.1177/00104140241259458,True,True,200,Conceptualizing and Measuring Support for Democracy: A New Approach,2025,1.0,yes,,,,,,,,,,,,,
Dahlum2019-nd,ARTICLE,Educating demonstrators: Education and mass protest in Africa,2019-01,10.1177/0022002717721394,True,True,200,Educating Demonstrators: Education and Mass Protest in Africa,2019,1.0,yes,,,,,,,,,,,,,
Dalton2004-bq,BOOK,"Democratic challenges, democratic choices: The erosion of political support in advanced industrial democracies",2004-03-18,10.1093/acprof:oso/9780199268436.001.0001,True,True,200,"Democratic Challenges, Democratic Choices",2004,0.54,yes,,,,,,,,,,,,,
Diamond1999-wd,BOOK,Developing democracy: Toward consolidation,1999-05-07,10.56021/9780801860140,True,True,200,Developing Democracy,1999,0.66,yes,,,,,,,,,,,,,
Easton1975-bg,ARTICLE,A re-assessment of the concept of political support,1975-10,10.1017/s0007123400008309,True,True,200,A Re-assessment of the Concept of Political Support,1975,1.0,yes,,,,,,,,,,,,,
Foa2017-oq,ARTICLE,The signs of deconsolidation,2017,10.1353/jod.2017.0000,True,True,200,The Signs of Deconsolidation,2017,1.0,yes,,,,,,,,,,,,,
Hu2025-yj,ARTICLE,An incomplete recipe: One-dimensional latent variables do not capture the full flavor of democratic support,2025-04,10.1177/20531680251341857,True,True,200,An incomplete recipe: One-dimensional latent variables do not capture the full flavor of democratic support,2025,1.0,yes,,,,,,,,,,,,,
Inglehart2003-do,ARTICLE,How solid is mass support for democracy—and how can we measure it?,2003-01,10.1017/s1049096503001689,True,True,200,How Solid is Mass Support for Democracy—And How Can We Measure It?,2003,1.0,yes,,,,,,,,,,,,,
Linz1996-qs,ARTICLE,Toward consolidated democracies,1996,10.1353/jod.1996.0031,True,True,200,Toward Consolidated Democracies,1996,1.0,yes,,,,,,,,,,,,,
MacKinnon1985-rb,ARTICLE,Some heteroskedasticity-consistent covariance matrix estimators with improved finite sample properties,1985-09,10.1016/0304-4076(85)90158-7,True,True,200,Some heteroskedasticity-consistent covariance matrix estimators with improved finite sample properties,1985,1.0,yes,,,,,,,,,,,,,
Mauk2020-cn,ARTICLE,Disentangling an elusive relationship: How democratic value orientations affect political trust in different regimes,2020-06,10.1177/1065912919829832,True,True,200,Disentangling an Elusive Relationship: How Democratic Value Orientations Affect Political Trust in Different Regimes,2020,1.0,yes,,,,,,,,,,,,,
Mauk2022-dm,ARTICLE,Stable support for democracy in East and Southeast Asia? Examining citizens’ trust in democratic institutions,2022-09,10.1007/s12140-021-09381-y,True,True,200,Stable Support for Democracy in East and Southeast Asia? Examining Citizens’ Trust in Democratic Institutions,2022,1.0,yes,,,,,,,,,,,,,
Norris2011-oc,BOOK,Democratic deficit: Critical citizens revisited,2011-02-14,10.1017/cbo9780511973383,True,True,200,Democratic Deficit,2011,0.56,yes,,,,,,,,,,,,,
Park2006-bv,ARTICLE,Do Asian values deter popular support for democracy in South Korea?,2006-06-01,10.1525/as.2006.46.3.341,True,True,200,Do Asian Values Deter Popular Support for Democracy in South Korea?,2006,1.0,yes,,,,,,,,,,,,,
Schedler2007-pv,ARTICLE,Democrats with adjectives: Linking direct and indirect measures of democratic support,2007-08,10.1111/j.1475-6765.2007.00708.x,True,True,200,Democrats with adjectives: Linking direct and indirect measures of democratic support,2007,1.0,yes,,,,,,,,,,,,,
Wachman1994-th,BOOK,Taiwan: National identity and democratization: National identity and democratization,1994-12-31,10.4324/9781315286976,True,True,200,Taiwan: National Identity and Democratization,2016,0.7,no,,,,,,,,,,,,,
cassandra_Tai2022-rs,ARTICLE,"Democracy, public support, and measurement uncertainty",2022-05-05,10.1017/s0003055422000429,True,True,200,"Democracy, Public Support, and Measurement Uncertainty",2024,1.0,no,,,,,,,,,,,,,
