"variable","label","w2_wording","w3_wording","w4_wording","w6_wording","status","notes"
"gate_contact_elected","Contacted elected official","Have you ever contacted an elected official to express your views? (broad)","Have you ever contacted an elected official to complain about or seek help with a problem? (narrow)","Have you ever contacted an elected official to express your views? (broad)","Have you ever contacted an elected official to express your views? (broad)","Partial","W3 uses problem-motivated framing; W2↔W3 and W3↔W4 comparisons invalid. W2, W4, W6 comparable."
"gate_contact_civil_servant","Contacted civil servant","Have you ever contacted a civil servant to express your views? (broad)","Have you ever contacted a government official to complain about or seek help with a problem? (narrow)","Have you ever contacted a civil servant to express your views? (broad)","Have you ever contacted a civil servant to express your views? (broad)","Partial","W3 uses problem-motivated framing; W2↔W3 and W3↔W4 comparisons invalid. W2, W4, W6 comparable."
"gate_contact_influential","Contacted influential person","Have you ever contacted a person of influence? (broad)","Have you ever contacted a person of influence? (broad)","Have you ever contacted a person of influence? (broad)","Have you ever contacted a person of influence? (broad)","Full","Consistent broad framing across all waves. Recommended for cross-wave participation comparisons."
"gate_petition","Signed petition","Not collected in W2","Have you ever signed a petition? (consistent)","Have you ever signed a petition? (consistent)","Have you ever signed a petition? (consistent)","Partial","W2 not collected. W3/W4/W6 comparable."
"gate_demonstration","Attended demonstration","Have you ever attended a demonstration or protest march? (consistent)","Have you ever attended a demonstration or protest march? (consistent)","Have you ever attended a demonstration or protest march? (consistent)","Have you ever attended a demonstration or protest march? (consistent)","Full","Consistent wording across all four waves."
"gate_contact_media","Contacted media","Have you ever contacted the media to express your views? (consistent)","Have you ever contacted the media to express your views? (consistent)","Have you ever contacted the media to express your views? (consistent)","Have you ever contacted the media to express your views? (consistent)","Full","Consistent wording across all four waves."
"community_leader_contact","Community leader contact","How often do you contact community leaders? (1–5 frequency)","How often do you contact community leaders? (1–5 frequency)","How often do you contact community leaders? (1–5 frequency)","How often do you contact community leaders? (1–5 frequency)","Full","Consistent scale and wording across all waves."
"voted_last_election","Voted in last election","Did you vote in the last national election? (binary)","Did you vote in the last national election? (binary)","Did you vote in the last national election? (binary)","Did you vote in the last national election? (binary)","Full","Consistent across all waves. Note: reference election differs by wave (2003/2008/2013/2018)."
"expert_rule","Expert rule","Not collected in W2","Should experts rather than government make decisions? (1–4)","Should experts rather than government make decisions? (1–4)","Should experts rather than government make decisions? (1–4)","Partial","W2 not collected. W3/W4/W6 comparable on identical 1–4 scale."
"single_party_rule","Single-party rule","Should only one political party be allowed to contest elections? (1–4)","Should only one political party be allowed to contest elections? (1–4)","Should only one political party be allowed to contest elections? (1–4)","Should only one political party be allowed to contest elections? (1–4)","Full","Consistent 1–4 scale ('very bad' to 'very good') across all waves."
