"variable","label","type","wave","estimate","se","ci_lower","ci_upper","valid_n"
"trust_generalized_binary","Interpersonal trust (binary)","prop",2,0.0741482965931864,0.00829384726833912,0.0590257743158749,0.0926365428562756,998
"nat_proud_citizen","National pride","mean",2,3.595,0.0204791209380283,3.55481297189574,3.63518702810426,1000
"econ_family_now","Family econ situation (now)","mean",2,2.91791791791792,0.018929965222686,2.88077081715409,2.95506501868174,999
"econ_family_change","Family econ change (1yr)","mean",2,3.30260521042084,0.0264215732978444,3.25075693550826,3.35445348533343,998
"econ_national_now","National econ situation","mean",2,3.18026183282981,0.025859748296616,3.1295157422149,3.23100792344472,993
"democracy_satisfaction","Democracy satisfaction","mean",2,2.96690796277146,0.0243737093180179,2.91907644038787,3.01473948515504,967
"trust_generalized_binary","Interpersonal trust (binary)","prop",3,0.115929941618015,0.00924552459208605,0.0986355325023204,0.135733759507444,1199
"trust_generalized_ordinal","Interpersonal trust (ordinal)","mean",3,2.3025,0.0255491874894949,2.25237391235956,2.35262608764044,1200
"nat_proud_citizen","National pride","mean",3,3.66026711185309,0.017331111976523,3.62626437478292,3.69426984892326,1198
"system_proud","Pride in political system","mean",3,3.02766135792121,0.0220608403253019,2.98437895694707,3.07094375889534,1193
"hh_income_sat","HH income satisfaction","mean",3,2.6697247706422,0.0292533239174674,2.6123313245346,2.7271182167498,1199
"econ_family_now","Family econ situation (now)","mean",3,3.02583333333333,0.0200811386979373,2.98643525389513,3.06523141277153,1200
"econ_family_change","Family econ change (1yr)","mean",3,3.1025,0.0271220905935575,3.04928796377992,3.15571203622008,1200
"econ_national_now","National econ situation","mean",3,3.335,0.0236878329075614,3.28852578672708,3.38147421327291,1200
"democracy_satisfaction","Democracy satisfaction","mean",3,2.97993311036789,0.0197151315649388,2.94125298577998,3.01861323495581,1196
"trust_generalized_binary","Interpersonal trust (binary)","prop",4,0.141068447412354,0.0100569389228706,0.122110793418357,0.162369038770267,1198
"trust_generalized_ordinal","Interpersonal trust (ordinal)","mean",4,2.44286905754796,0.0269315773369214,2.39003075319526,2.49570736190066,1199
"nat_proud_citizen","National pride","mean",4,3.6304347826087,0.0167430359331454,3.59758576439439,3.663283800823,1196
"system_proud","Pride in political system","mean",4,2.75400168491997,0.0240485802249159,2.70681918284647,2.80118418699346,1187
"hh_income_sat","HH income satisfaction","mean",4,1.905,0.0236267249011031,1.8586456772437,1.9513543227563,1200
"econ_family_now","Family econ situation (now)","mean",4,3.05,0.0196402167782312,3.01146698489306,3.08853301510694,1200
"econ_family_change","Family econ change (1yr)","mean",4,3.03502919099249,0.0243907606781856,2.98717583209023,3.08288254989476,1199
"econ_national_now","National econ situation","mean",4,3.12353923205342,0.0232281894273938,3.07796673683294,3.1691117272739,1198
"democracy_satisfaction","Democracy satisfaction","mean",4,2.70924369747899,0.0230139915542313,2.66409113981122,2.75439625514677,1190
"trust_generalized_binary","Interpersonal trust (binary)","prop",6,0.0496742671009772,0.00620015854904965,0.0385053512477589,0.0637451734277821,1228
"trust_generalized_ordinal","Interpersonal trust (ordinal)","mean",6,2.23214285714286,0.02235052093612,2.18829352752084,2.27599218676487,1232
"nat_proud_citizen","National pride","mean",6,3.79299103504483,0.0145718048981593,3.76440259888964,3.82157947120001,1227
"system_proud","Pride in political system","mean",6,2.95229835212489,0.0210468319108949,2.91100393382618,2.99359277042361,1153
"hh_income_sat","HH income satisfaction","mean",6,2.9643435980551,0.027877177938572,2.90965164629061,3.0190355498196,1234
"econ_family_now","Family econ situation (now)","mean",6,2.85633575464084,0.0202087533602538,2.81668856437053,2.89598294491115,1239
"econ_family_change","Family econ change (1yr)","mean",6,3.26731866340668,0.0258385671360651,3.21662595704165,3.31801136977171,1227
"econ_national_now","National econ situation","mean",6,3.05194805194806,0.0236557328646939,3.00553803623527,3.09835806766084,1232
"democracy_satisfaction","Democracy satisfaction","mean",6,3.10232158211522,0.0187049568969634,3.0656223141883,3.13902085004214,1163
