"domain","variable","label","fmt_CPP_voter","n_CPP_voter","fmt_CNRP_SRP_voter","n_CNRP_SRP_voter","fmt_DK_Refuse","n_DK_Refuse"
"Democratic Orientation","dem_always_preferable","Democracy always preferable (\% = 1)","68.2\% (64.6, 71.6)",704,"72.0\% (57.3, 83.3)",50,"59.3\% (52.1, 66.1)",199
"Democratic Orientation","dem_best_form","Democracy is best form (1--4 mean)","3.26 (3.22, 3.30)",730,"2.91 (2.73, 3.09)",54,"3.14 (3.05, 3.23)",204
"Democratic Orientation","dem_vs_equality","Democracy vs. equality (1--5 mean)","2.26 (2.15, 2.36)",740,"2.61 (2.23, 2.99)",54,"2.46 (2.28, 2.64)",215
"Democratic Orientation","democracy_satisfaction","Democracy satisfaction (1--4 mean)","3.22 (3.17, 3.26)",748,"2.44 (2.23, 2.65)",57,"2.98 (2.91, 3.05)",227
"Democratic Expectations","dem_country_future","Democratic future (0--10 mean)","7.06 (6.78, 7.34)",297,"4.96 (4.13, 5.79)",23,"5.86 (5.45, 6.27)",87
"Democratic Expectations","dem_country_present_govt","Democratic present (0--10 mean)","6.15 (5.95, 6.35)",433,"4.04 (3.57, 4.52)",46,"5.26 (5.00, 5.51)",156
"Democratic Expectations","dem_country_past","Democratic past (0--10 mean)","4.92 (4.74, 5.10)",555,"3.96 (3.43, 4.48)",45,"4.50 (4.25, 4.75)",171
"Auth. Preferences","expert_rule","Expert rule (1--4 mean)","2.19 (2.12, 2.26)",706,"1.96 (1.72, 2.20)",56,"1.95 (1.83, 2.06)",204
"Auth. Preferences","single_party_rule","Single-party rule (1--4 mean)","2.27 (2.20, 2.34)",720,"1.89 (1.66, 2.13)",56,"2.05 (1.93, 2.17)",207
"Auth. Preferences","strongman_rule","Strongman rule (1--4 mean)","2.23 (2.16, 2.30)",712,"2.07 (1.81, 2.33)",56,"2.05 (1.93, 2.18)",201
"Auth. Preferences","military_rule","Military rule (1--4 mean)","2.24 (2.17, 2.31)",707,"2.28 (1.99, 2.57)",54,"2.18 (2.04, 2.33)",184
"Civic Engagement","gate_contact_influential","Contacted influential person (\%)","24.9\% (21.9, 28.3)",734,"20.8\% (11.3, 34.5)",53,"20.4\% (15.3, 26.5)",216
"Civic Engagement","political_interest","Political interest (1--4 mean)","2.09 (2.02, 2.15)",774,"2.37 (2.14, 2.60)",57,"1.93 (1.82, 2.04)",239
"Civic Engagement","pol_news_follow","Follows political news (mean)","2.05 (1.96, 2.14)",763,"2.48 (2.13, 2.84)",56,"1.96 (1.81, 2.11)",233
