"variable","label","type","respondent_value","dk_refuse_value","difference","test","statistic","p_value","n_resp","n_dk","sig"
"age","Age (years)","continuous","40.6 (SD=12.9)","41.7 (SD=13.1)","1.02","t-test",1.34,0.180641203083533,458,784,""
"education_level","Education level (1-10)","continuous","3.8 (SD=2.4)","3.8 (SD=2.3)","-0.07","t-test",-0.48,0.629767519011071,457,784,""
"female","Female (%)","binary","48.7%","51.1%","+2.5 pp","prop.test",0.6,0.437115426770898,458,784,""
"urban","Urban (%)","binary","27.5%","24.0%","-3.5 pp","prop.test",1.73,0.188900022262649,458,784,""
"age_Under 30","Age: Under 30 (%)","category","23.8%","21.6%","-2.2 pp","chi-sq (age group)",1.81,0.404871981189557,458,784,""
"age_30-49","Age: 30-49 (%)","category","47.8%","46.7%","-1.1 pp","",NA,NA,458,784,""
"age_50+","Age: 50+ (%)","category","28.4%","31.8%","+3.4 pp","",NA,NA,458,784,""
"edu_Primary or below","Education: Primary or below (%)","category","56.7%","56.9%","+0.2 pp","chi-sq (education)",0.51,0.774199169154619,457,784,""
"edu_Secondary","Education: Secondary (%)","category","36.3%","37.1%","+0.8 pp","",NA,NA,457,784,""
"edu_Tertiary","Education: Tertiary (%)","category","7.0%","6.0%","-1.0 pp","",NA,NA,457,784,""
