"category","variable","wave_label","memo_val","actual_val","diff","flag"
"Participation","action_contact_elected","W2",3.44,3.44,0,"OK"
"Participation","action_contact_elected","W3",4.31,4.306,-0.004,"OK"
"Participation","action_contact_elected","W4",3.08,3.077,-0.003,"OK"
"Participation","action_contact_elected","W6",1.74,1.742,0.002,"OK"
"Participation","action_contact_civil_servant","W2",3.43,3.429,-0.001,"OK"
"Participation","action_contact_civil_servant","W3",4.33,4.329,-0.001,"OK"
"Participation","action_contact_civil_servant","W4",3.19,3.187,-0.003,"OK"
"Participation","action_contact_civil_servant","W6",2.47,2.468,-0.002,"OK"
"Participation","action_demonstration","W3",4.48,4.484,0.004,"OK"
"Participation","action_demonstration","W4",3.07,3.071,0.001,"OK"
"Participation","action_demonstration","W6",1.29,1.288,-0.002,"OK"
"Participation","action_petition","W3",4.34,4.341,0.001,"OK"
"Participation","action_petition","W4",3.23,3.234,0.004,"OK"
"Participation","action_petition","W6",2.14,2.135,-0.005,"OK"
"Participation","community_leader_contact","W2",1.53,1.53,0,"OK"
"Participation","community_leader_contact","W3",1.9,1.903,0.003,"OK"
"Participation","community_leader_contact","W4",2,2.004,0.004,"OK"
"Participation","community_leader_contact","W6",1.39,1.387,-0.003,"OK"
"Participation","voted_last_election","W3",0.787,0.787,0,"OK"
"Participation","voted_last_election","W4",0.832,0.832,0,"OK"
"Participation","voted_last_election","W6",0.881,0.881,0,"OK"
"Auth Prefs","expert_rule","W3",1.58,1.577,-0.003,"OK"
"Auth Prefs","expert_rule","W4",1.66,1.659,-0.001,"OK"
"Auth Prefs","expert_rule","W6",2.11,2.11,0,"OK"
"Auth Prefs","single_party_rule","W2",1.79,1.791,0.001,"OK"
"Auth Prefs","single_party_rule","W3",1.97,1.966,-0.004,"OK"
"Auth Prefs","single_party_rule","W4",1.78,1.778,-0.002,"OK"
"Auth Prefs","single_party_rule","W6",2.21,2.207,-0.003,"OK"
"Auth Prefs","strongman_rule","W2",1.6,1.605,0.005,"OK"
"Auth Prefs","strongman_rule","W3",1.73,1.727,-0.003,"OK"
"Auth Prefs","strongman_rule","W4",1.76,1.756,-0.004,"OK"
"Auth Prefs","strongman_rule","W6",2.17,2.174,0.004,"OK"
"Auth Prefs","military_rule","W2",2.19,2.192,0.002,"OK"
"Auth Prefs","military_rule","W3",2.19,2.189,-0.001,"OK"
"Auth Prefs","military_rule","W4",1.98,1.981,0.001,"OK"
"Auth Prefs","military_rule","W6",2.21,2.209,-0.001,"OK"
"Dem Expect","dem_country_future","W3",9.58,9.577,-0.003,"OK"
"Dem Expect","dem_country_future","W4",7.72,7.717,-0.003,"OK"
"Dem Expect","dem_country_future","W6",6.67,6.67,0,"OK"
"Dem Expect","dem_country_past","W3",3.97,3.968,-0.002,"OK"
"Dem Expect","dem_country_past","W4",3.87,3.866,-0.004,"OK"
"Dem Expect","dem_country_past","W6",4.78,4.785,0.005,"OK"
"Dem Expect","dem_country_present_govt","W3",5.85,5.852,0.002,"OK"
"Dem Expect","dem_country_present_govt","W4",5.06,5.057,-0.003,"OK"
"Dem Expect","dem_country_present_govt","W6",5.77,5.775,0.005,"OK"
"Corruption","corrupt_witnessed","W2",0.277,0.277,0,"OK"
"Corruption","corrupt_witnessed","W3",0.494,0.494,0,"OK"
"Corruption","corrupt_witnessed","W4",0.628,0.628,0,"OK"
"Corruption","corrupt_witnessed","W6",0.149,0.149,0,"OK"
"Corruption","corrupt_national_govt","W2",2.86,2.862,0.002,"OK"
"Corruption","corrupt_national_govt","W3",2.67,2.669,-0.001,"OK"
"Corruption","corrupt_national_govt","W4",2.9,2.897,-0.003,"OK"
"Corruption","corrupt_national_govt","W6",2.33,2.331,0.001,"OK"
"Corruption","corrupt_local_govt","W2",2.56,2.559,-0.001,"OK"
"Corruption","corrupt_local_govt","W3",2.47,2.47,0,"OK"
"Corruption","corrupt_local_govt","W4",2.56,2.563,0.003,"OK"
"Corruption","corrupt_local_govt","W6",2.36,2.364,0.004,"OK"
"Media","pol_news_follow","W3",3.07,3.065,-0.005,"OK"
"Media","pol_news_follow","W4",2.86,2.857,-0.003,"OK"
"Media","pol_news_follow","W6",2.04,2.036,-0.004,"OK"
"Media","news_internet","W3",5.78,5.785,0.005,"OK"
"Media","news_internet","W4",2.17,2.171,0.001,"OK"
"Media","news_internet","W6",2.17,2.172,0.002,"OK"
"Media","political_interest","W3",2.57,2.57,0,"OK"
"Media","political_interest","W4",2.29,2.291,0.001,"OK"
"Media","political_interest","W6",2.06,2.06,0,"OK"
"Media","pol_discuss","W3",1.45,1.455,0.005,"OK"
"Media","pol_discuss","W4",1.47,1.47,0,"OK"
"Media","pol_discuss","W6",1.26,1.258,-0.002,"OK"
"China","intl_china_asia_goodharm","W4",2.69,2.694,0.004,"OK"
"China","intl_china_asia_goodharm","W6",2.88,2.875,-0.005,"OK"
"China","intl_future_influence_asia","W6",3.3,3.305,0.005,"OK"
