term,estimate,std.error,statistic,p.value,stars
wave_num,-0.0228,0.022,-1.0389,0.2989,
inst_typeHorizontal,-0.1051,0.0127,-8.2822,0,***
inst_typeSocietal,-0.0293,0.0118,-2.4705,0.0135,*
econ_present_n,-0.1702,0.0208,-8.1706,0,***
wave_num:inst_typeHorizontal,-0.0652,0.0203,-3.2128,0.0013,**
wave_num:inst_typeSocietal,-0.015,0.0191,-0.7814,0.4346,
wave_num:econ_present_n,0.0219,0.0309,0.7092,0.4782,
inst_typeHorizontal:econ_present_n,-0.0154,0.0181,-0.8545,0.3928,
inst_typeSocietal:econ_present_n,0.0877,0.0174,5.0351,0,***
wave_num:inst_typeHorizontal:econ_present_n,0.033,0.0272,1.2134,0.225,
wave_num:inst_typeSocietal:econ_present_n,-0.0599,0.0261,-2.3003,0.0214,*
