"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model","dv","wave_ref","wave","attenuation_pct"
"wave_f4",-1.8579788214029,0.119541757976125,-15.5425087673043,2.17232582423084e-51,-2.09242477278548,-1.62353287002032,"A_baseline","dem_country_future",3,"4",3.3
"wave_f6",-2.88657467557056,0.128028120358194,-22.5464114250414,5.1956451540136e-100,-3.13766412740124,-2.63548522373989,"A_baseline","dem_country_future",3,"6",0.4
"wave_f4",-1.79575219503768,0.118159044111815,-15.1977549288427,2.66454132079812e-49,-2.02748814764701,-1.56401624242834,"B_freedom_controls","dem_country_future",3,"4",3.3
"wave_f6",-2.87560203705077,0.129025452814184,-22.2870912237143,6.98399186510102e-98,-3.1286494143675,-2.62255465973405,"B_freedom_controls","dem_country_future",3,"6",0.4
"wave_f3",0.00857583681241198,0.0310676326775667,0.276037665998427,0.782531831761644,-0.0523320121486684,0.0694836857734924,"A_baseline","democracy_satisfaction",2,"3",-169.3
"wave_f4",-0.26376805144947,0.0312021699165311,-8.45351628284427,3.77381082750983e-17,-0.324939659606995,-0.202596443291944,"A_baseline","democracy_satisfaction",2,"4",11.9
"wave_f6",0.136581590132438,0.0314431638336543,4.34376104309999,1.43152287095558e-05,0.0749375153001258,0.198225664964751,"A_baseline","democracy_satisfaction",2,"6",-16.1
"wave_f3",0.0230982302835819,0.0305887521664802,0.755121691720833,0.450216496343307,-0.0368711638846308,0.0830676244517945,"B_freedom_controls","democracy_satisfaction",2,"3",-169.3
"wave_f4",-0.232295261611725,0.0308463141905947,-7.53072993345031,6.08966530472488e-14,-0.292769607353732,-0.171820915869717,"B_freedom_controls","democracy_satisfaction",2,"4",11.9
"wave_f6",0.15862358889099,0.0319644781953746,4.96249580304252,7.22291546216975e-07,0.0959570772972216,0.221290100484759,"B_freedom_controls","democracy_satisfaction",2,"6",-16.1
"wave_f3",-0.0430583216273539,0.0212416550404785,-2.02706999738491,0.0427171039557395,-0.0847029745910485,-0.00141366866365927,"A_baseline","dem_pref_binary",2,"3",-13.9
"wave_f4",0.130789609912875,0.0212931309079438,6.14233813140562,8.8704931333079e-10,0.089044037570134,0.172535182255615,"A_baseline","dem_pref_binary",2,"4",6.7
"wave_f6",0.0462488028923604,0.0217590242371321,2.12549985644283,0.0336020244224537,0.00358983816210677,0.088907767622614,"A_baseline","dem_pref_binary",2,"6",8.1
"wave_f3",-0.0490430467419817,0.0213922528555779,-2.29256110018324,0.0219223720051521,-0.0909831466407402,-0.00710294684322324,"B_freedom_controls","dem_pref_binary",2,"3",-13.9
"wave_f4",0.121996611196868,0.0215352027341676,5.66498549852557,1.56846443974298e-08,0.0797762541307581,0.164216968262978,"B_freedom_controls","dem_pref_binary",2,"4",6.7
"wave_f6",0.0425100806495978,0.0224853479767975,1.89056805762863,0.0587506228074256,-0.00157306228872718,0.0865932235879229,"B_freedom_controls","dem_pref_binary",2,"6",8.1
