"wave","wave_n","auth_items_used","mean_na_all_political","mean_na_dem_expectations","na_dem_future","na_dem_past","na_dem_present","n_auth_complete","n_straightliners","straightline_rate","auth_acquiescence_rate","dem_ceiling_rate_9_10","table","variable","na_rate_value","na_pct"
2,1000,"single_party_rule, strongman_rule, military_rule",0.4595,0.8427,1,1,0.528,805,347,0.4311,0.1695,0.3602,"wave_summary",NA,NA,NA
3,1200,"expert_rule, single_party_rule, strongman_rule, military_rule",0.0451,0.2781,0.2417,0.2075,0.385,1170,387,0.3308,0.1084,0.4063,"wave_summary",NA,NA,NA
4,1200,"expert_rule, single_party_rule, strongman_rule, military_rule",0.063,0.375,0.54,0.2183,0.3667,1146,439,0.3831,0.037,0.1991,"wave_summary",NA,NA,NA
6,1242,"expert_rule, single_party_rule, strongman_rule, military_rule",0.1431,0.4549,0.6312,0.3084,0.4251,997,345,0.346,0.0985,0.1635,"wave_summary",NA,NA,NA
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","community_leader_contact",0.003,0.3
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","community_leader_contact",0.0033,0.3
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","community_leader_contact",0,0
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","community_leader_contact",0.0845,8.5
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_local_govt",0.06,6
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_local_govt",0.0142,1.4
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_local_govt",0.0133,1.3
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_local_govt",0.211,21.1
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_national_govt",0.224,22.4
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_national_govt",0.085,8.5
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_national_govt",0.0625,6.2
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_national_govt",0.1771,17.7
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_witnessed",0.013,1.3
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_witnessed",0.005,0.5
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_witnessed",0.0717,7.2
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","corrupt_witnessed",0.0539,5.4
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_future",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_future",0.2417,24.2
