"variable","label","type","wave","subgroup_type","subgroup_value","estimate","se","ci_lower","ci_upper","valid_n"
"gate_contact_influential","Gate influential","prop",2,"urban_rural","Urban",0.385650224215247,0.0325950922588528,0.322078997811962,0.453229084539947,223
"gate_contact_influential","Gate influential","prop",2,"urban_rural","Rural",0.443152454780362,0.017855592013515,0.407884674907031,0.478992069506288,774
"gate_contact_influential","Gate influential","prop",2,"age","Under 30",0.434920634920635,0.0279321556883742,0.379738545977419,0.491716087849224,315
"gate_contact_influential","Gate influential","prop",2,"age","30-49",0.408898305084746,0.0226291248315783,0.364421593318352,0.454880926373313,472
"gate_contact_influential","Gate influential","prop",2,"age","50+",0.471428571428571,0.0344469000242808,0.402714850407808,0.541204683195811,210
"gate_contact_influential","Gate influential","prop",2,"education","Primary or below",0.430513595166163,0.0192444773552215,0.392559947404564,0.469285030696706,662
"gate_contact_influential","Gate influential","prop",2,"education","Secondary",0.442176870748299,0.0289649380892735,0.38485855859657,0.501031139915769,294
"gate_contact_influential","Gate influential","prop",2,"education","Tertiary",0.461538461538462,0.0977675245080373,0.271383795352763,0.662523207281668,26
"corrupt_witnessed","Corrupt witnessed","prop",2,"urban_rural","Urban",0.34703196347032,0.0321668580541959,0.28496480524575,0.414562175477603,219
"corrupt_witnessed","Corrupt witnessed","prop",2,"urban_rural","Rural",0.256510416666667,0.0157582990208797,0.226267401913665,0.289228051864901,768
"corrupt_witnessed","Corrupt witnessed","prop",2,"age","Under 30",0.296774193548387,0.0259465499970359,0.247143938851024,0.351536098373232,310
"corrupt_witnessed","Corrupt witnessed","prop",2,"age","30-49",0.282377919320594,0.020742104117683,0.242604118013882,0.325764324342237,471
"corrupt_witnessed","Corrupt witnessed","prop",2,"age","50+",0.233009708737864,0.0294542746145071,0.178311850721517,0.297888618785486,206
"corrupt_witnessed","Corrupt witnessed","prop",2,"education","Primary or below",0.252293577981651,0.0169836010349536,0.219791737829989,0.287754563781488,654
"corrupt_witnessed","Corrupt witnessed","prop",2,"education","Secondary",0.332191780821918,0.0275631529883375,0.279034489732544,0.389844122241602,292
"corrupt_witnessed","Corrupt witnessed","prop",2,"education","Tertiary",0.269230769230769,0.0869892924733086,0.123524205750349,0.480505688286732,26
"single_party_rule","Single-party rule","mean",2,"urban_rural","Urban",1.53365384615385,0.0697989799371238,1.39604582784567,1.67126186446203,208
"single_party_rule","Single-party rule","mean",2,"urban_rural","Rural",1.86647727272727,0.0446676716602187,1.7787792586538,1.95417528680074,704
"single_party_rule","Single-party rule","mean",2,"age","Under 30",1.73489932885906,0.0641354822002253,1.60868175649696,1.86111690122116,298
"single_party_rule","Single-party rule","mean",2,"age","30-49",1.85450346420323,0.0566277903975457,1.74320321219487,1.96580371621159,433
"single_party_rule","Single-party rule","mean",2,"age","50+",1.7292817679558,0.0872002990920936,1.55721545000622,1.90134808590538,181
"single_party_rule","Single-party rule","mean",2,"education","Primary or below",1.94148020654045,0.0499275493555119,1.8434193785967,2.0395410344842,581
"single_party_rule","Single-party rule","mean",2,"education","Secondary",1.53448275862069,0.0596448916007687,1.41708929912709,1.65187621811429,290
"single_party_rule","Single-party rule","mean",2,"education","Tertiary",1.19230769230769,0.124273034010796,0.936362587694836,1.44825279692055,26
"political_interest","Political interest","mean",2,"urban_rural","Urban",2.34529147982063,0.0670271466523316,2.21320058622565,2.4773823734156,223
"political_interest","Political interest","mean",2,"urban_rural","Rural",2.61707632600259,0.0333230856174949,2.55166172215667,2.6824909298485,773
"political_interest","Political interest","mean",2,"age","Under 30",2.54458598726115,0.0518158689361084,2.44263453337711,2.64653744114518,314
"political_interest","Political interest","mean",2,"age","30-49",2.52118644067797,0.0437638302704659,2.43518992770068,2.60718295365525,472
"political_interest","Political interest","mean",2,"age","50+",2.65238095238095,0.0684469199481934,2.5174461001889,2.78731580457301,210
"political_interest","Political interest","mean",2,"education","Primary or below",2.49317147192716,0.0373440357835251,2.4198436274379,2.56649931641642,659
"political_interest","Political interest","mean",2,"education","Secondary",2.71621621621622,0.0524439541345355,2.61300451558388,2.81942791684855,296
"political_interest","Political interest","mean",2,"education","Tertiary",2.61538461538462,0.192768678248333,2.21837009076888,3.01239914000035,26
"gate_contact_influential","Gate influential","prop",3,"urban_rural","Urban",0.58252427184466,0.0343588815383385,0.51183764505154,0.650081567131401,206
"gate_contact_influential","Gate influential","prop",3,"urban_rural","Rural",0.514141414141414,0.0158846861138467,0.482509553235051,0.545662184491422,990
"gate_contact_influential","Gate influential","prop",3,"age","Under 30",0.506393861892583,0.0252840193218821,0.45574973622905,0.556910379492096,391
"gate_contact_influential","Gate influential","prop",3,"age","30-49",0.535508637236084,0.0218500884664485,0.491621182466656,0.578864691651452,521
"gate_contact_influential","Gate influential","prop",3,"age","50+",0.535211267605634,0.0295958794377831,0.475370067368949,0.594084293292569,284
"gate_contact_influential","Gate influential","prop",3,"education","Primary or below",0.515503875968992,0.0179634868621156,0.479662307318925,0.551189506511056,774
"gate_contact_influential","Gate influential","prop",3,"education","Secondary",0.542105263157895,0.0255583515454756,0.490526482597716,0.592819245478346,380
"gate_contact_influential","Gate influential","prop",3,"education","Tertiary",0.571428571428571,0.0763603548321213,0.410738456846939,0.719236514411699,42
"dem_country_future","Dem future","mean",3,"urban_rural","Urban",9.48051948051948,0.133581631302509,9.21661690345564,9.74442205758332,154
"dem_country_future","Dem future","mean",3,"urban_rural","Rural",9.59656084656084,0.0557174827936057,9.48718124190832,9.70594045121337,756
"dem_country_future","Dem future","mean",3,"age","Under 30",9.59666666666667,0.0860502476076665,9.42732583136909,9.76600750196424,300
"dem_country_future","Dem future","mean",3,"age","30-49",9.53385416666667,0.0842352154888786,9.36823280728112,9.69947552605222,384
"dem_country_future","Dem future","mean",3,"age","50+",9.62389380530973,0.0976650682414052,9.43143859732278,9.81634901329669,226
"dem_country_future","Dem future","mean",3,"education","Primary or below",9.51174496644295,0.0686018549156705,9.37701373745353,9.64647619543238,596
"dem_country_future","Dem future","mean",3,"education","Secondary",9.72916666666667,0.0725345679668359,9.58639947959851,9.87193385373483,288
"dem_country_future","Dem future","mean",3,"education","Tertiary",9.38461538461539,0.351160375708102,8.66138705264522,10.1078437165856,26
"corrupt_witnessed","Corrupt witnessed","prop",3,"urban_rural","Urban",0.560386473429952,0.0344980202349201,0.489871533908859,0.628623092315331,207
"corrupt_witnessed","Corrupt witnessed","prop",3,"urban_rural","Rural",0.480243161094225,0.0159027460723229,0.448707969578956,0.511934030808156,987
"corrupt_witnessed","Corrupt witnessed","prop",3,"age","Under 30",0.524296675191816,0.0252562150348991,0.473527593864292,0.574580832641097,391
"corrupt_witnessed","Corrupt witnessed","prop",3,"age","30-49",0.491329479768786,0.0219442638727087,0.447586652362279,0.535202559902995,519
"corrupt_witnessed","Corrupt witnessed","prop",3,"age","50+",0.457746478873239,0.029563410004598,0.399032656903103,0.517622147144485,284
"corrupt_witnessed","Corrupt witnessed","prop",3,"education","Primary or below",0.465025906735751,0.0179513163170114,0.429460674651952,0.500943835964314,772
"corrupt_witnessed","Corrupt witnessed","prop",3,"education","Secondary",0.518421052631579,0.0256320453636882,0.466943237450277,0.569520546009437,380
"corrupt_witnessed","Corrupt witnessed","prop",3,"education","Tertiary",0.80952380952381,0.0605913343124145,0.653729137471042,0.908587181843948,42
"single_party_rule","Single-party rule","mean",3,"urban_rural","Urban",1.77403846153846,0.0702327657870866,1.63557523859495,1.91250168448197,208
"single_party_rule","Single-party rule","mean",3,"urban_rural","Rural",2.00713557594292,0.0345401891059049,1.93935433675767,2.07491681512816,981
"single_party_rule","Single-party rule","mean",3,"age","Under 30",2.02056555269923,0.0536132170380918,1.91515677405371,2.12597433134475,389
"single_party_rule","Single-party rule","mean",3,"age","30-49",1.94594594594595,0.0472734200458021,1.85307432954272,2.03881756234917,518
"single_party_rule","Single-party rule","mean",3,"age","50+",1.9290780141844,0.0649790394244168,1.80117053789443,2.05698549047437,282
"single_party_rule","Single-party rule","mean",3,"education","Primary or below",2.11864406779661,0.0394034069593825,2.04129258875128,2.19599554684194,767
"single_party_rule","Single-party rule","mean",3,"education","Secondary",1.72631578947368,0.051739418051052,1.62458352235114,1.82804805659623,380
"single_party_rule","Single-party rule","mean",3,"education","Tertiary",1.35714285714286,0.0953106576068984,1.16465907918602,1.5496266350997,42
"voted_last_election","Voted","prop",3,"urban_rural","Urban",0.70873786407767,0.031655649053395,0.640795004051938,0.768742549036864,206
"voted_last_election","Voted","prop",3,"urban_rural","Rural",0.803030303030303,0.0126400292259828,0.776578335029023,0.827092076345718,990
"voted_last_election","Voted","prop",3,"age","Under 30",0.524421593830334,0.0253207488688049,0.473518922197763,0.574834335544297,389
"voted_last_election","Voted","prop",3,"age","30-49",0.888675623800384,0.0137799584269451,0.857719122953392,0.913742160278741,521
"voted_last_election","Voted","prop",3,"age","50+",0.958041958041958,0.0118554175561379,0.925945458095323,0.977119234783822,286
"voted_last_election","Voted","prop",3,"education","Primary or below",0.849032258064516,0.01286036586197,0.821422501570675,0.873111265223563,775
"voted_last_election","Voted","prop",3,"education","Secondary",0.677165354330709,0.0239538290148931,0.627301526148698,0.723393978801947,381
"voted_last_election","Voted","prop",3,"education","Tertiary",0.625,0.0765465544619743,0.458096354632844,0.768259445562895,40
"political_interest","Political interest","mean",3,"urban_rural","Urban",2.4375,0.0619400783006328,2.31538573075879,2.55961426924121,208
"political_interest","Political interest","mean",3,"urban_rural","Rural",2.5979797979798,0.0284051241614695,2.54223856147074,2.65372103448886,990
"political_interest","Political interest","mean",3,"age","Under 30",2.54591836734694,0.0435857464771337,2.46022662446461,2.63161011022927,392
"political_interest","Political interest","mean",3,"age","30-49",2.54510556621881,0.0390529978686482,2.46838452643114,2.62182660600648,521
"political_interest","Political interest","mean",3,"age","50+",2.64912280701754,0.0558989125103416,2.53909406192811,2.75915155210698,285
"political_interest","Political interest","mean",3,"education","Primary or below",2.52454780361757,0.0326302904577343,2.4604933156165,2.58860229161864,774
"political_interest","Political interest","mean",3,"education","Secondary",2.64659685863874,0.0442740798063132,2.55954472423732,2.73364899304017,382
"political_interest","Political interest","mean",3,"education","Tertiary",2.71428571428571,0.137531389240352,2.4365354389931,2.99203598957833,42
"gate_contact_influential","Gate influential","prop",4,"urban_rural","Urban",0.655,0.0336136133136561,0.584194296184628,0.719744279893126,200
"gate_contact_influential","Gate influential","prop",4,"urban_rural","Rural",0.54,0.0157607106438764,0.508514742276408,0.571174171325479,1000
"gate_contact_influential","Gate influential","prop",4,"age","Under 30",0.514657980456026,0.0285242421390245,0.457303088216244,0.571640089585906,307
"gate_contact_influential","Gate influential","prop",4,"age","30-49",0.558052434456929,0.021490783446262,0.514726534636436,0.600530703945664,534
"gate_contact_influential","Gate influential","prop",4,"age","50+",0.598885793871866,0.0258677588212714,0.545990827598464,0.649629719971611,359
"gate_contact_influential","Gate influential","prop",4,"education","Primary or below",0.549537648612946,0.0180833977796614,0.513271644781009,0.585294126832772,757
"gate_contact_influential","Gate influential","prop",4,"education","Secondary",0.578947368421053,0.024717314713883,0.528714743121448,0.627635567578904,399
"gate_contact_influential","Gate influential","prop",4,"education","Tertiary",0.545454545454545,0.0750657112586155,0.389974369295501,0.693094478545793,44
"dem_country_future","Dem future","mean",4,"urban_rural","Urban",7.31764705882353,0.289504437350009,6.74193573607694,7.89335838157012,85
"dem_country_future","Dem future","mean",4,"urban_rural","Rural",7.79014989293362,0.133996811795111,7.52683708373502,8.05346270213222,467
"dem_country_future","Dem future","mean",4,"age","Under 30",7.84027777777778,0.232102814787183,7.38148195467041,8.29907360088515,144
"dem_country_future","Dem future","mean",4,"age","30-49",7.4233870967742,0.188325881473747,7.05245766184061,7.79431653170778,248
"dem_country_future","Dem future","mean",4,"age","50+",8.0625,0.216948444010301,7.63402764471386,8.49097235528614,160
"dem_country_future","Dem future","mean",4,"education","Primary or below",7.93388429752066,0.144989557470769,7.64875670534575,8.21901188969557,363
