"variable","label","type","wave","estimate","se","ci_lower","ci_upper","valid_n"
"gate_contact_elected","Contacted elected official","prop",2,0.32565130260521,0.0148338335217381,0.296806572150748,0.355856067403259,998
"gate_contact_civil_servant","Contacted civil servant","prop",2,0.318318318318318,0.0147380112470046,0.289688739406596,0.348363851359849,999
"gate_contact_influential","Contacted influential person","prop",2,0.430290872617854,0.0156805061262942,0.399387869195409,0.461737710213247,997
"gate_petition","Signed petition","prop",2,NA,NA,NA,NA,0
"gate_demonstration","Attended demonstration","prop",2,NA,NA,NA,NA,0
"gate_contact_media","Contacted media","prop",2,NA,NA,NA,NA,0
"community_leader_contact","Community leader contact","mean",2,1.5295887662989,0.0212018481678823,1.48798334857692,1.57119418402088,997
"voted_last_election","Voted in last election","prop",2,NA,NA,NA,NA,0
"expert_rule","Expert rule","mean",2,NA,NA,NA,NA,0
"single_party_rule","Single-party rule","mean",2,1.7905701754386,0.0382411844559948,1.71551911980658,1.86562123107061,912
"strongman_rule","Strongman rule","mean",2,1.60488346281909,0.0339262566469862,1.53829967856498,1.6714672470732,901
"military_rule","Military rule","mean",2,2.1917211328976,0.0419053020635318,2.10947970063357,2.27396256516164,918
"dem_country_future","Democratic future (0-10)","mean",2,NA,NA,NA,NA,0
"dem_country_past","Democratic past (0-10)","mean",2,NA,NA,NA,NA,0
"dem_country_present_govt","Democratic present (0-10)","mean",2,6.71610169491526,0.123120612462771,6.47416804143952,6.95803534839099,472
"corrupt_witnessed","Witnessed corruption","prop",2,0.276595744680851,0.0142381872581616,0.249107311179414,0.305847809371291,987
"corrupt_national_govt","National govt corruption","mean",2,2.86211340206186,0.0272399007875011,2.80864066821478,2.91558613590893,776
"corrupt_local_govt","Local govt corruption","mean",2,2.55851063829787,0.0267538859876752,2.50600630909621,2.61101496749954,940
"pol_news_follow","Follows political news","mean",2,NA,NA,NA,NA,0
"news_internet","Internet news (harmonized)","mean",2,NA,NA,NA,NA,0
"political_interest","Political interest","mean",2,2.55622489959839,0.0300996207685877,2.49715887777259,2.61529092142419,996
"pol_discuss","Discusses politics","mean",2,1.6503006012024,0.0204706529867111,1.61013009236364,1.69047111004117,998
"gate_contact_elected","Contacted elected official","prop",3,0.0409356725146199,0.00572700758672529,0.0307395167937623,0.0541770965334991,1197
"gate_contact_civil_servant","Contacted civil servant","prop",3,0.0658882402001668,0.00716463024924643,0.0528115876643091,0.0818195109370943,1199
"gate_contact_influential","Contacted influential person","prop",3,0.525919732441472,0.0144384336910196,0.497165216715695,0.554505828965301,1196
"gate_petition","Signed petition","prop",3,0.105,0.00884943501021393,0.0885126117301403,0.124068581719534,1200
"gate_demonstration","Attended demonstration","prop",3,0.0258333333333333,0.00457948070402295,0.0179123826185445,0.0369187182610856,1200
"gate_contact_media","Contacted media","prop",3,0.0317195325542571,0.0050633222190396,0.022842164353644,0.0437147285575103,1198
"community_leader_contact","Community leader contact","mean",3,1.90301003344482,0.0265406219787801,1.85093863024882,1.95508143664081,1196
"voted_last_election","Voted in last election","prop",3,0.786789297658863,0.0118431746126888,0.762244710757829,0.809464497908218,1196
"expert_rule","Expert rule","mean",3,1.57695542472666,0.0248206146782942,1.52825830088229,1.62565254857103,1189
"single_party_rule","Single-party rule","mean",3,1.9663582842725,0.0311277507625199,1.90528679375841,2.02742977478658,1189
"strongman_rule","Strongman rule","mean",3,1.72696817420436,0.0273689489817134,1.67327154264548,1.78066480576323,1194
"military_rule","Military rule","mean",3,2.18871103622578,0.0334559235037867,2.12307164440619,2.25435042804537,1187
"dem_country_future","Democratic future (0-10)","mean",3,9.57692307692307,0.0515023556476826,9.47584572987891,9.67800042396724,910
"dem_country_past","Democratic past (0-10)","mean",3,3.96845425867508,0.0615717683555688,3.84762186492632,4.08928665242383,951
"dem_country_present_govt","Democratic present (0-10)","mean",3,5.85230352303523,0.0965563065053683,5.66274533995957,6.04186170611089,738
"corrupt_witnessed","Witnessed corruption","prop",3,0.494137353433836,0.0144689822858408,0.465425843455549,0.522887020617586,1194
"corrupt_national_govt","National govt corruption","mean",3,2.66939890710382,0.0240897092135001,2.6221317939123,2.71666602029535,1098
"corrupt_local_govt","Local govt corruption","mean",3,2.46999154691462,0.0234157076746313,2.42405056058824,2.51593253324101,1183
