country_name,wave,wave_year,n,mean_proc,sd_proc,pct_high_proc
Australia,W6,2020,1204,2.064814814814815,1.1974450684177849,37.45791245791246
Cambodia,W3,2010,981,1.3735691987513008,1.1721102131271475,18.834547346514046
Cambodia,W4,2014,907,1.433179723502304,1.1000285326922983,16.244239631336406
Cambodia,W6,2020,1139,2.0834896810506565,1.0692322805856957,34.990619136960596
China,W3,2010,1196,2.048780487804878,1.0805795348176677,33.38940285954584
China,W4,2014,1185,1.9085365853658536,1.0886576768926093,30.226480836236934
Hong Kong,W3,2010,1183,1.8248048568950563,1.1556813846186889,28.794449262792714
Hong Kong,W4,2014,1203,1.9003436426116838,1.1290123300458281,30.584192439862544
Indonesia,W4,2014,1392,1.784568372803667,1.310172001550665,31.550802139037433
Indonesia,W6,2020,1402,1.5732155997056658,1.121639161807364,20.676968359087564
Japan,W3,2010,1803,1.2173403632103106,1.109578546894532,13.942589338019918
Japan,W4,2014,981,1.232181425485961,1.0920256375173445,13.498920086393088
Malaysia,W3,2010,1164,1.621212121212121,1.036366031313727,19.786096256684495
Malaysia,W4,2014,1160,1.5994671403197158,1.0112081576166159,18.206039076376555
Mongolia,W3,2010,1132,1.5973659454374411,1.129001619120475,22.389463781749765
Mongolia,W4,2014,1165,1.8516873889875667,1.1156390471477893,29.75133214920071
Mongolia,W6,2020,1174,2.160394265232975,1.1365471375992322,40.50179211469534
Myanmar,W3,2010,1193,1.9406276505513147,1.0632956166414553,30.449533502968617
Myanmar,W4,2014,1189,2.0256629597946962,1.0149693426126858,29.854576561163388
Philippines,W3,2010,1524,1.4436141304347827,1.2277440783712266,19.565217391304348
Philippines,W4,2014,1585,1.5358758888170654,1.2209784658551177,21.71945701357466
Philippines,W6,2020,1186,1.834334763948498,0.9822420743624378,24.463519313304722
Singapore,W3,2010,546,0.8513513513513513,0.9115146215651136,5.7915057915057915
Singapore,W4,2014,1156,1.2190812720848057,1.0055846905507266,10.247349823321555
South Korea,W3,2010,1061,1.5871287128712872,1.246136814568011,23.66336633663366
South Korea,W4,2014,1109,1.521698113207547,1.3125748122556258,24.339622641509433
South Korea,W6,2020,1208,1.701429772918419,1.1322512545913181,25.231286795626577
Taiwan,W3,2010,2904,1.4181360201511335,1.102736622138641,16.948542641237854
Taiwan,W4,2014,3114,1.6467523445640848,1.1276651135012061,23.202500868357067
Taiwan,W6,2020,1504,1.7183480027081923,1.234341701911444,26.540284360189574
Thailand,W3,2010,1383,1.2079131109387122,1.0515735348879443,12.25756400310318
Thailand,W4,2014,1027,1.4831115660184238,1.1004709036936569,18.93551688843398
Thailand,W6,2020,1031,1.5531475748194015,1.204979724417394,22.39422084623323
Vietnam,W3,2010,1301,1.508957654723127,1.0446048241460586,18.729641693811075
Vietnam,W4,2014,1323,1.4363207547169812,1.0046477284729134,14.30817610062893
Vietnam,W6,2020,1178,1.1303571428571428,0.8679415198086435,6.696428571428571
