country_name,wave_label,wave,mean_ame_governance,mean_ame_procedural,mean_ame_substantive,mean_se_governance,mean_se_procedural,mean_se_substantive,n_items_governance,n_items_procedural,n_items_substantive,n_sig_governance,n_sig_procedural,n_sig_substantive,mean_n_governance,mean_n_procedural,mean_n_substantive
Australia,W6,6,0.024774981756752763,0.004338363156599256,-0.03345170806995085,0.026087552609930672,0.02657591900997945,0.02397795333879875,4,8,4,1,0,0,1014.5,1014.5,1014.5
Cambodia,W3,3,-0.035140756450257424,0.05580347843068573,-0.07646620041111465,0.03238624058767972,0.03615924375860806,0.03536597268464225,4,8,4,1,4,3,886.75,886.75,886.75
Cambodia,W4,4,-0.022905174097946752,0.05169378555269608,-0.08048239700744458,0.025858695523292688,0.03026076613056539,0.028936249281750016,4,8,4,2,5,2,898.75,898.75,898.75
Cambodia,W6,6,-0.03165831046336222,0.056446949033979225,-0.08123558760459935,0.04862594474296797,0.06276181145701341,0.058365791269731106,4,8,4,1,4,1,791.75,791.75,791.75
Indonesia,W3,3,0.024118881213711016,-0.02024373380681774,0.016368586399924574,0.02866288977872744,0.02357359118687242,0.02647453643508411,4,8,4,1,0,0,1010.25,1010.25,1010.25
Indonesia,W4,4,-0.003923413207640173,0.007418844349878097,-0.010914275492115799,0.028256704415060157,0.02245015731898612,0.02805613435089748,4,8,4,0,1,0,1010.75,1010.75,1010.75
Indonesia,W6,6,-0.0186384313328253,0.00740556520971999,0.0038273009133869907,0.025650839657947136,0.023423669950987026,0.027721196608832967,4,8,4,1,2,1,1254.75,1254.75,1254.75
Japan,W3,3,-0.03431362167247757,0.0073200445440179795,0.019673532584441038,0.027208001708845908,0.020050568861093077,0.023938893462981926,4,8,4,1,1,1,1297.25,1297.25,1297.25
Japan,W4,4,-0.026144187381144532,0.02587183781296384,-0.025599488244782313,0.03700035356996331,0.026854636110361454,0.03174380911881057,4,8,4,0,2,1,713.5,713.5,713.5
Malaysia,W3,3,-0.012045935616824752,0.05476812955095326,-0.0974903234850814,0.052113947542334615,0.047822432262684,0.04438810920155181,4,8,4,1,2,2,566,566,566
Malaysia,W4,4,-0.029651958304614635,0.03730575444148215,-0.04495955057835016,0.04354834828708339,0.037231942647103444,0.03873483275447298,4,8,4,2,2,2,654.75,654.75,654.75
Mongolia,W3,3,-0.0029661235952633865,-0.0014418265171488483,0.005849776629560877,0.029819010435895812,0.026438800767706785,0.026430193982575973,4,8,4,1,0,1,999,999,999
Mongolia,W4,4,-0.011945937733764187,-0.003043553771412332,0.018033045276589166,0.03137220848351968,0.028417207106905193,0.02637826131213697,4,8,4,0,0,0,1024.25,1024.25,1024.25
Mongolia,W6,6,-0.01448344473508595,0.0214228189288437,-0.028362193122601177,0.03816448928789886,0.0358573557693817,0.027531816372767883,4,8,4,1,2,1,821,821,821
Myanmar,W4,4,-0.03611985983817891,0.06737200243637538,-0.09862414503457045,0.027669759471708237,0.03010560264790449,0.034820650688468735,4,8,4,1,6,4,725.75,725.75,725.75
Philippines,W3,3,-0.032006709644169004,0.0255310922275242,-0.019055474810878888,0.030106314303326314,0.03009379106438845,0.031933309229028026,4,8,4,1,3,1,746.75,746.75,746.75
Philippines,W4,4,-0.03664979315155559,0.029059822845258116,-0.021469852538960225,0.032609453449943426,0.03530128305358671,0.035581259428648655,4,8,4,0,1,0,881.25,881.25,881.25
Philippines,W6,6,-0.030357861124818336,0.007921309327265268,0.014515242470287796,0.029033695330229484,0.02962735560151148,0.0337518272912455,4,8,4,1,3,0,857,857,857
South Korea,W3,3,0.007580845899739298,0.01335271395371446,-0.03428627380716828,0.03617739284343626,0.02962755629699395,0.030286103758542557,4,8,4,0,2,0,731.75,731.75,731.75
South Korea,W4,4,-0.02656865503081148,0.012101106024535511,0.0023664429817394595,0.03487617928587035,0.030375293758978444,0.028262083955729378,4,8,4,1,1,0,766,766,766
South Korea,W6,6,0.032050973448212894,-0.0014701747144982465,-0.02911062401921643,0.031562819976037645,0.026453837472707863,0.02729966234342135,4,8,4,0,0,1,868.25,868.25,868.25
Taiwan,W3,3,-0.08485349133666349,0.038482296235074966,0.007888898866513467,0.028535718945378548,0.02427339958653827,0.02952101246298102,4,8,4,3,4,0,1101.25,1101.25,1101.25
Taiwan,W4,4,-0.07869869619992659,0.044438763667064216,-0.010178831134202409,0.026709352366518314,0.023273555384198126,0.026565563834347515,4,8,4,3,7,0,1116,1116,1116
Taiwan,W6,6,0.01764451495824184,-0.02167244407841621,0.02570037319859087,0.03094984685204617,0.027205649721583174,0.02908317769421659,4,8,4,2,2,1,1010,1010,1010
Thailand,W3,3,-0.0237014595675207,0.005170208710095421,0.013361042147329368,0.031504313154095506,0.02442850297091484,0.03340791124695576,4,8,4,1,1,0,813.5,813.5,813.5
Thailand,W4,4,-0.00725842049183208,0.0391878826252815,-0.07111734475873073,0.047560455722302775,0.03708410549895819,0.04540202797389759,4,8,4,1,1,2,388.5,388.5,388.5
Thailand,W6,6,0.013156236856231598,0.0748828045364462,-0.16292184592912368,0.05098898292405848,0.04323320608491729,0.05811786817536898,4,8,4,0,3,3,329.5,329.5,329.5
