set,item,item_label,ame,se,z,p,ci_low,ci_high,ame_pct,sig,item_type,item_subtype
Set1,Reduce gap rich/poor,Reduce gap rich/poor,-0.014603616016378763,0.007500648611579627,-1.9469804243106998,0.05153708160891054,-0.02930488729507483,9.765526231730534e-5,-1.5,†,substantive,redistribution
Set1,Free elections,Free elections,-0.01018099377354774,0.0076573252980359045,-1.3295757170142888,0.18365810326259815,-0.025189351357698113,0.004827363810602631,-1.0,,procedural,electoral
Set1,No waste,No waste,-0.006816490734870583,0.007763767336976439,-0.8779875077406984,0.3799504980688231,-0.022033474715344403,0.008400493245603238,-0.7,,governance,quality
Set1,Free expression,Free expression,0.03160110052479685,0.010864812344465926,2.9085730634724776,0.0036308232397124565,0.010306068329643637,0.05289613271995007,+3.2,**,procedural,liberal
Set2,Legislature oversight,Legislature oversight,0.009837227536884397,0.008526851529846278,1.1536764188342497,0.2486328551771758,-0.006875401461614307,0.026549856535383103,+1.0,,procedural,accountability
Set2,Basic necessities,Basic necessities,-0.02117469903578622,0.009328140609996646,-2.269980687586766,0.02320875482927771,-0.039457854631379644,-0.0028915434401927953,-2.1,*,substantive,welfare
Set2,Organize groups,Organize groups,0.023400399739379397,0.011781161198848247,1.9862557980844089,0.0470049280043453,3.0932378963683185e-4,0.04649147568912196,+2.3,*,procedural,liberal
Set2,Quality services,Quality services,-0.01206292824047793,0.016418128600043606,-0.7347322301060483,0.4625025874408692,-0.044242460296563396,0.020116603815607537,-1.2,,governance,quality
Set3,Law and order,Law and order,-0.04990871074134117,0.01030561031612496,-4.842868031139322,1.2797829244092108e-6,-0.07010770696094609,-0.02970971452173625,-5.0,***,governance,quality
Set3,Media freedom,Media freedom,0.03811790042811101,0.006534692407819823,5.8331590913899385,5.438766520811591e-9,0.025309903308784156,0.05092589754743786,+3.8,***,procedural,liberal
Set3,Jobs for all,Jobs for all,-0.009094241226123777,0.012751210685748882,-0.7132060986403245,0.4757182330119088,-0.034086614170191584,0.015898131717944033,-0.9,,substantive,welfare
Set3,Party competition,Party competition,0.020885051539353768,0.011363936960477163,1.8378359200680414,0.06608658688861294,-0.0013882649031814707,0.043158367981889004,+2.1,†,procedural,electoral
Set4,Protest freedom,Protest freedom,0.011640756110717226,0.008313008970863645,1.4003059724243097,0.1614217131391728,-0.004652741472175519,0.02793425369360997,+1.2,,procedural,liberal
Set4,Clean politics,Clean politics,-0.0070408051286709045,0.008550133552511902,-0.8234731171658038,0.4102389985058446,-0.023799066891594233,0.009717456634252424,-0.7,,governance,quality
Set4,Court protection,Court protection,0.003177834422954328,0.008656385288750488,0.3671087084217614,0.7135379317492336,-0.013788680742996627,0.020144349588905285,+0.3,,procedural,accountability
Set4,Unemployment aid,Unemployment aid,-0.007777785405000755,0.010399001502080993,-0.7479357901279566,0.4544988884386878,-0.0281598283490795,0.012604257539077991,-0.8,,substantive,welfare
W2,Elections,Elections,0.027701999113209377,0.013902363567889117,1.9926107512533962,0.046304086990776455,4.5336652014670714e-4,0.05495063170627205,+2.8,*,procedural,electoral
W2,Criticize power,Criticize power,0.006554492191278567,0.010650778814641819,0.6154002731019057,0.5382904110993239,-0.014321034285419396,0.027430018667976532,+0.7,,procedural,liberal
W2,Income equality,Income equality,-0.013368139390062879,0.006344689930224847,-2.1069807251540706,0.035119250376584324,-0.02580373165330358,-9.325471268221783e-4,-1.3,*,substantive,redistribution
W2,Basic necessities,Basic necessities,-0.020888351914425007,0.011186623014006134,-1.8672616292040851,0.061865060981184244,-0.04281413302187703,0.0010374291930270174,-2.1,†,substantive,welfare
