set,item,item_label,ame,se,z,p,ci_low,ci_high,ame_pct,sig,item_type,item_subtype
Set1,Reduce gap rich/poor,Reduce gap rich/poor,-0.01745208993173974,0.007346825264602977,-2.3754600529052943,0.01752708947313136,-0.03185186745036157,-0.003052312413117906,-1.7,*,substantive,redistribution
Set1,Free elections,Free elections,-0.008912060469486891,0.007267545267953573,-1.226282071992706,0.22009254552967727,-0.023156449194675896,0.005332328255702111,-0.9,,procedural,electoral
Set1,No waste,No waste,-0.007212152413625555,0.0074038945062645575,-0.9741025358374885,0.3300056305621447,-0.02172378564590409,0.0072994808186529776,-0.7,,governance,quality
Set1,Free expression,Free expression,0.03357630281485482,0.010706721902358222,3.136002141557392,0.001712679530325356,0.012591127886232702,0.05456147774347693,+3.4,**,procedural,liberal
Set2,Legislature oversight,Legislature oversight,0.012331858224464703,0.008501206832829193,1.4506008931393888,0.14689102646618182,-0.004330507167880514,0.028994223616809922,+1.2,,procedural,accountability
Set2,Basic necessities,Basic necessities,-0.025737542203380714,0.010576017180877655,-2.433576058283679,0.014950494068265657,-0.04646653587790092,-0.005008548528860509,-2.6,*,substantive,welfare
Set2,Organize groups,Organize groups,0.02522148235101978,0.01155252613588332,2.183200631131168,0.029021038313697563,0.00257853112468847,0.04786443357735109,+2.5,*,procedural,liberal
Set2,Quality services,Quality services,-0.01181579837210374,0.017292498443240902,-0.6832904112084606,0.4944233520479885,-0.04570909532085591,0.02207749857664843,-1.2,,governance,quality
Set3,Law and order,Law and order,-0.04826002117362203,0.009865648932392076,-4.891722937268623,9.995708760592213e-7,-0.06759669308111049,-0.028923349266133557,-4.8,***,governance,quality
Set3,Media freedom,Media freedom,0.041184566848656366,0.0065268767028523866,6.309996147262567,2.790424144654147e-10,0.028391888511065687,0.053977245186247046,+4.1,***,procedural,liberal
Set3,Jobs for all,Jobs for all,-0.014501260524841287,0.013285204315940104,-1.0915346260382395,0.27503770428218116,-0.04054026098408389,0.011537739934401315,-1.5,,substantive,welfare
Set3,Party competition,Party competition,0.021576714849796258,0.011886605667411294,1.815212471374539,0.06949126386950265,-0.0017210322583298791,0.0448744619579224,+2.2,†,procedural,electoral
Set4,Protest freedom,Protest freedom,0.015280647567735704,0.008527713308364536,1.791881013723509,0.07315202790741315,-0.0014336705166587867,0.0319949656521302,+1.5,†,procedural,liberal
Set4,Clean politics,Clean politics,-0.006302080013898101,0.008004218950788077,-0.7873447806269234,0.4310800621837785,-0.021990349157442732,0.009386189129646531,-0.6,,governance,quality
Set4,Court protection,Court protection,0.0049385099156161036,0.00822610665970144,0.6003459619371557,0.5482756933749654,-0.011184659137398717,0.021061678968630926,+0.5,,procedural,accountability
Set4,Unemployment aid,Unemployment aid,-0.013917077469455662,0.010679560427388901,-1.3031507770454478,0.19252329110073813,-0.034849015907137904,0.0070148609682265835,-1.4,,substantive,welfare
W2,Elections,Elections,0.03438433163358239,0.014380458598281182,2.391045556620299,0.01680046808249008,0.006198632780951275,0.06257003048621351,+3.4,*,procedural,electoral
W2,Criticize power,Criticize power,0.01324076997628347,0.01262882049674599,1.048456582282974,0.2944282961095647,-0.01151171819733867,0.03799325814990561,+1.3,,procedural,liberal
W2,Income equality,Income equality,-0.016857103384288426,0.0075454720316477444,-2.2340687651594475,0.02547854881443663,-0.031646228566318005,-0.0020679782022588467,-1.7,*,substantive,redistribution
W2,Basic necessities,Basic necessities,-0.03076799822557767,0.010538742395409879,-2.919513265546617,0.0035057847294053387,-0.05142393332058103,-0.010112063130574306,-3.1,**,substantive,welfare
