set,item_label,item_type,ame_controlled,sig_controlled,ame_uncontrolled,sig_uncontrolled,diff,diff_pct
Set1,Reduce gap rich/poor,substantive,-0.014603616016378763,†,-0.01745208993173974,*,0.0028484739153609787,+0.28
Set1,Free elections,procedural,-0.01018099377354774,,-0.008912060469486891,,-0.0012689333040608493,-0.13
Set1,No waste,governance,-0.006816490734870583,,-0.007212152413625555,,3.956616787549718e-4,+0.04
Set1,Free expression,procedural,0.03160110052479685,**,0.03357630281485482,**,-0.001975202290057966,-0.20
Set2,Legislature oversight,procedural,0.009837227536884397,,0.012331858224464703,,-0.0024946306875803063,-0.25
Set2,Basic necessities,substantive,-0.02117469903578622,*,-0.025737542203380714,*,0.004562843167594494,+0.46
Set2,Organize groups,procedural,0.023400399739379397,*,0.02522148235101978,*,-0.0018210826116403823,-0.18
Set2,Quality services,governance,-0.01206292824047793,,-0.01181579837210374,,-2.47129868374189e-4,-0.02
Set3,Law and order,governance,-0.04990871074134117,***,-0.04826002117362203,***,-0.0016486895677191443,-0.16
Set3,Media freedom,procedural,0.03811790042811101,***,0.041184566848656366,***,-0.003066666420545358,-0.31
Set3,Jobs for all,substantive,-0.009094241226123777,,-0.014501260524841287,,0.00540701929871751,+0.54
Set3,Party competition,procedural,0.020885051539353768,†,0.021576714849796258,†,-6.916633104424898e-4,-0.07
Set4,Protest freedom,procedural,0.011640756110717226,,0.015280647567735704,†,-0.003639891457018478,-0.36
Set4,Clean politics,governance,-0.0070408051286709045,,-0.006302080013898101,,-7.387251147728032e-4,-0.07
Set4,Court protection,procedural,0.003177834422954328,,0.0049385099156161036,,-0.0017606754926617757,-0.18
Set4,Unemployment aid,substantive,-0.007777785405000755,,-0.013917077469455662,,0.006139292064454907,+0.61
W2,Elections,procedural,0.027701999113209377,*,0.03438433163358239,*,-0.006682332520373015,-0.67
W2,Criticize power,procedural,0.006554492191278567,,0.01324076997628347,,-0.006686277785004903,-0.67
W2,Income equality,substantive,-0.013368139390062879,*,-0.016857103384288426,*,0.003488963994225547,+0.35
W2,Basic necessities,substantive,-0.020888351914425007,†,-0.03076799822557767,**,0.009879646311152662,+0.99
