country_name,n_High,n_Low,n_Middle,mean_proc_High,mean_proc_Low,mean_proc_Middle,edu_gradient
Cambodia,1323,870,679,1.473922902494331,1.8804597701149426,1.7039764359351988,-0.4065368676206116
Japan,2269,278,73,1.232701630674306,1.1942446043165467,1.1095890410958904,0.03845702635775927
China,1358,549,429,2.0228276877761413,1.9271402550091075,1.916083916083916,0.09568743276703384
Vietnam,1651,1069,773,1.3906723198061781,1.2890551917680075,1.3971539456662354,0.10161712803817058
Philippines,2490,704,960,1.6542168674698796,1.4772727272727273,1.4864583333333334,0.17694414019715232
Thailand,1054,1575,561,1.4971537001897532,1.29015873015873,1.4598930481283423,0.20699497003102318
Hong Kong,1016,458,842,1.9498031496062993,1.6877729257641922,1.852731591448931,0.26203022384210706
Taiwan,2969,1764,2255,1.7164028292354327,1.417233560090703,1.4980044345898005,0.29916926914472985
Singapore,896,167,534,1.1741071428571428,0.8562874251497006,1.0655430711610487,0.3178197177074422
Malaysia,1051,475,658,1.7117031398667935,1.3705263157894736,1.6291793313069909,0.34117682407731986
Mongolia,2498,174,595,1.8835068054443556,1.5229885057471264,1.8974789915966386,0.36051829969722915
Indonesia,852,958,791,1.8685446009389672,1.4739039665970772,1.718078381795196,0.39464063434189
Australia,732,13,423,2.1256830601092895,1.6153846153846154,1.9716312056737588,0.5102984447246741
Myanmar,175,1465,611,2.394285714285714,1.860750853242321,2.1685761047463177,0.5335348610433932
South Korea,1936,548,668,1.759297520661157,1.1916058394160585,1.4236526946107784,0.5676916812450985
