country_name,n_18-29,n_30-44,n_45-59,n_60+,mean_proc_18-29,mean_proc_30-44,mean_proc_45-59,mean_proc_60+,age_gradient
Japan,245,589,656,1143,1.0979591836734695,1.0831918505942275,1.1768292682926829,1.347331583552056,0.24937239987858661
Australia,201,334,284,351,2.0646766169154227,1.9341317365269461,2.0528169014084505,2.1994301994301995,0.13475358251477676
China,633,815,560,328,1.938388625592417,1.9791411042944784,2.005357142857143,2.024390243902439,0.08600161831002207
Myanmar,713,748,591,199,2.014025245441795,1.9572192513368984,1.9796954314720812,2.0100502512562812,-0.003974994185513836
Singapore,590,560,363,102,1.1813559322033897,1.0892857142857142,0.9972451790633609,1.0784313725490196,-0.1029245596543702
Malaysia,625,679,597,284,1.6896,1.5596465390279823,1.6080402010050252,1.5809859154929577,-0.10861408450704224
Mongolia,702,1063,999,503,1.9458689458689458,1.9369708372530574,1.7877877877877877,1.765407554671968,-0.18046139119697768
Indonesia,546,1068,779,209,1.750915750915751,1.6825842696629214,1.65596919127086,1.5454545454545454,-0.2054612054612055
Cambodia,695,1114,768,296,1.6589928057553958,1.6499102333931777,1.72265625,1.4527027027027026,-0.20629010305269313
Thailand,440,1043,1190,527,1.5454545454545454,1.3691275167785235,1.3781512605042017,1.3225806451612903,-0.22287390029325516
Vietnam,814,1389,929,361,1.4828009828009827,1.369330453563715,1.2938643702906352,1.2271468144044322,-0.25565416839655053
Hong Kong,704,771,600,241,1.9431818181818181,1.8780804150453956,1.8233333333333333,1.6763485477178424,-0.26683327046397576
Philippines,822,1267,1258,811,1.7907542579075426,1.5927387529597474,1.512718600953895,1.4747225647348952,-0.31603169317264745
Taiwan,1491,2047,2088,1389,1.7686116700201207,1.5950170981924767,1.4995210727969348,1.4226061915046797,-0.34600547851544095
South Korea,533,799,1029,796,1.900562851782364,1.6170212765957446,1.58600583090379,1.3592964824120604,-0.5412663693703037
