country_name,wave_label,wave,mean_ame_governance,mean_ame_procedural,mean_ame_substantive,n_items_governance,n_items_procedural,n_items_substantive
Australia,W6,6,0.024774981756752763,0.004338363156599256,-0.03345170806995085,4,8,4
Cambodia,W3,3,-0.035140756450257424,0.05580347843068573,-0.07646620041111465,4,8,4
Cambodia,W4,4,-0.022905174097946752,0.05169378555269608,-0.08048239700744458,4,8,4
Cambodia,W6,6,-0.03165831046336222,0.056446949033979225,-0.08123558760459935,4,8,4
China,W4,4,0.01420117846668752,0.0052735750731781154,-0.024748328613043765,4,8,4
Hong Kong,W3,3,-0.10719003361390876,0.09014299745784793,-0.07309596130178764,4,8,4
Hong Kong,W4,4,-0.06020159457274177,0.11440449199983602,-0.16860738942692993,4,8,4
Indonesia,W3,3,0.024118881213711016,-0.02024373380681774,0.016368586399924574,4,8,4
Indonesia,W4,4,-0.003923413207640173,0.007418844349878097,-0.010914275492115799,4,8,4
Indonesia,W6,6,-0.0186384313328253,0.00740556520971999,0.0038273009133869907,4,8,4
Japan,W3,3,-0.03431362167247757,0.0073200445440179795,0.019673532584441038,4,8,4
Japan,W4,4,-0.026144187381144532,0.02587183781296384,-0.025599488244782313,4,8,4
Malaysia,W3,3,-0.012045935616824752,0.05476812955095326,-0.0974903234850814,4,8,4
Malaysia,W4,4,-0.029651958304614635,0.03730575444148215,-0.04495955057835016,4,8,4
Mongolia,W3,3,-0.0029661235952633865,-0.0014418265171488483,0.005849776629560877,4,8,4
Mongolia,W4,4,-0.011945937733764187,-0.003043553771412332,0.018033045276589166,4,8,4
Mongolia,W6,6,-0.01448344473508595,0.0214228189288437,-0.028362193122601177,4,8,4
Myanmar,W4,4,-0.03611985983817891,0.06737200243637538,-0.09862414503457045,4,8,4
Philippines,W3,3,-0.032006709644169004,0.0255310922275242,-0.019055474810878888,4,8,4
Philippines,W4,4,-0.03664979315155559,0.029059822845258116,-0.021469852538960225,4,8,4
Philippines,W6,6,-0.030357861124818336,0.007921309327265268,0.014515242470287796,4,8,4
Singapore,W4,4,-0.010030880767002258,0.009025420379807109,-0.008019959992611358,4,8,4
South Korea,W3,3,0.007580845899739298,0.01335271395371446,-0.03428627380716828,4,8,4
South Korea,W4,4,-0.02656865503081148,0.012101106024535511,0.0023664429817394595,4,8,4
South Korea,W6,6,0.032050973448212894,-0.0014701747144982465,-0.02911062401921643,4,8,4
Taiwan,W3,3,-0.08485349133666349,0.038482296235074966,0.007888898866513467,4,8,4
Taiwan,W4,4,-0.07869869619992659,0.044438763667064216,-0.010178831134202409,4,8,4
Taiwan,W6,6,0.01764451495824184,-0.02167244407841621,0.02570037319859087,4,8,4
Thailand,W3,3,-0.0237014595675207,0.005170208710095421,0.013361042147329368,4,8,4
Thailand,W4,4,-0.00725842049183208,0.0391878826252815,-0.07111734475873073,4,8,4
Thailand,W6,6,0.013156236856231598,0.0748828045364462,-0.16292184592912368,4,8,4
