set,item,item_label,ame,se,z,p,ci_low,ci_high,ame_pct,sig,item_type,item_subtype
Set1,Reduce gap rich/poor,Reduce gap rich/poor,-0.02578725361354854,0.010981743285961715,-2.3481930821050194,0.018864739290045552,-0.0473114704540335,-0.00426303677306358,-2.6,*,substantive,redistribution
Set1,Free elections,Free elections,-8.105737788700985e-4,0.013154338475415342,-0.061620261663861815,0.9508652411287458,-0.02659307719068417,0.024971929632943972,-0.1,,procedural,electoral
Set1,No waste,No waste,-0.0064157434320012,0.010812485494403707,-0.5933643504374494,0.5529373415217604,-0.027608215001032468,0.014776728137030067,-0.6,,governance,quality
Set1,Free expression,Free expression,0.03301357082441894,0.015553488893526686,2.1225829812473194,0.03378881232806691,0.002528732593106639,0.06349840905573124,+3.3,*,procedural,liberal
Set2,Legislature oversight,Legislature oversight,0.011448246151408832,0.011722037658503116,0.9766430107912444,0.32874591788111795,-0.011526947659257276,0.03442343996207494,+1.1,,procedural,accountability
Set2,Basic necessities,Basic necessities,-0.043177523072457744,0.009265816999298548,-4.6598722029289394,3.164057684989024e-6,-0.061338524391082894,-0.02501652175383259,-4.3,***,substantive,welfare
Set2,Organize groups,Organize groups,0.04046336082347684,0.014210369154983067,2.8474531788843636,0.0044070576440013364,0.012611037279710028,0.06831568436724365,+4.0,**,procedural,liberal
Set2,Quality services,Quality services,-0.008734083902429584,0.017589471526053235,-0.49655180881886096,0.6195051439798689,-0.043209448093493925,0.025741280288634753,-0.9,,governance,quality
Set3,Law and order,Law and order,-0.0538245437940312,0.010892359435765709,-4.941495376777148,7.752565515473216e-7,-0.07517356828813199,-0.03247551929993041,-5.4,***,governance,quality
Set3,Media freedom,Media freedom,0.04340283925159523,0.006181628360854525,7.021263123232369,2.198713345486154e-12,0.03128684766432036,0.0555188308388701,+4.3,***,procedural,liberal
Set3,Jobs for all,Jobs for all,-0.02131005304894517,0.015844647220078813,-1.344937047379662,0.1786455650411553,-0.05236556160029964,0.009745455502409302,-2.1,,substantive,welfare
Set3,Party competition,Party competition,0.031731757591387716,0.018322719477077594,1.7318257604219356,0.08330459009125912,-0.004180772583684371,0.06764428776645981,+3.2,†,procedural,electoral
Set4,Protest freedom,Protest freedom,0.021720391868244808,0.014308201945394878,1.5180378325059605,0.12900486159209457,-0.006323683944729153,0.04976446768121877,+2.2,,procedural,liberal
Set4,Clean politics,Clean politics,-0.011854385790963986,0.009907082260914857,-1.1965567135473958,0.2314793808021509,-0.0312722670223571,0.007563495440429132,-1.2,,governance,quality
Set4,Court protection,Court protection,0.016391309413908414,0.01037972524769342,1.5791660205602154,0.11429798163908712,-0.0039529520715706895,0.03673557089938752,+1.6,,procedural,accountability
Set4,Unemployment aid,Unemployment aid,-0.026257315491189853,0.012697651826797614,-2.0678874999372248,0.03865060311191194,-0.05114471307171317,-0.00136991791066653,-2.6,*,substantive,welfare
W2,Elections,Elections,0.028601471506325884,0.016868925958980315,1.6955123032654993,0.0899782783062996,-0.00446162337327553,0.061664566385927294,+2.9,†,procedural,electoral
W2,Criticize power,Criticize power,0.025931573280916453,0.017833991716227612,1.4540532312415868,0.14593154860518637,-0.009023050482889667,0.060886197044722576,+2.6,,procedural,liberal
W2,Income equality,Income equality,-0.01807860733054518,0.008691001178867631,-2.0801524425636635,0.037511552726384206,-0.03511296964112574,-0.0010442450199646264,-1.8,*,substantive,redistribution
W2,Basic necessities,Basic necessities,-0.0364544374566957,0.010762013937035025,-3.387324869673885,7.057776064735256e-4,-0.05754798477328435,-0.015360890140107053,-3.6,***,substantive,welfare
