set,item,item_label,ame,se,z,p,ci_low,ci_high,ame_pct,sig,item_type,item_subtype
Set1,Reduce gap rich/poor,Reduce gap rich/poor,-0.02367192425164468,0.01072189889757696,-2.207810806441599,0.027257464446184883,-0.04468684609089552,-0.00265700241239384,-2.4,*,substantive,redistribution
Set1,Free elections,Free elections,-0.005075298004394669,0.012888554387758528,-0.39378334076125376,0.6937410048862211,-0.03033686460440138,0.020186268595612046,-0.5,,procedural,electoral
Set1,No waste,No waste,-0.0052191764746045005,0.01162640159612875,-0.44890729358104514,0.6534985344152442,-0.02800692360301685,0.01756857065380785,-0.5,,governance,quality
Set1,Free expression,Free expression,0.033966398730642805,0.01578886777201,2.1512878074042368,0.03145349002954269,0.003020217897503206,0.06491257956378241,+3.4,*,procedural,liberal
Set2,Legislature oversight,Legislature oversight,0.009098443402796023,0.011450624111265056,0.794580567346109,0.4268575259661529,-0.013344779855283484,0.03154166666087553,+0.9,,procedural,accountability
Set2,Basic necessities,Basic necessities,-0.0381249947654912,0.008614028315716695,-4.42591936874997,9.603239262818399e-6,-0.055008490264295926,-0.02124149926668648,-3.8,***,substantive,welfare
Set2,Organize groups,Organize groups,0.03786819492460035,0.014731794130473007,2.5705080175040758,0.010154947615076149,0.008993878428873257,0.06674251142032744,+3.8,*,procedural,liberal
Set2,Quality services,Quality services,-0.008841643561908029,0.01872618245324638,-0.4721540860761632,0.6368168093448608,-0.04554496117027093,0.02786167404645487,-0.9,,governance,quality
Set3,Law and order,Law and order,-0.05255178899911805,0.011404551410247165,-4.60796633806214,4.066264719112423e-6,-0.07490470976320249,-0.030198868235033604,-5.3,***,governance,quality
Set3,Media freedom,Media freedom,0.04245996034992838,0.0065807110402348445,6.452184283784192,1.1024939613241924e-10,0.02956176671106809,0.055358153988788676,+4.2,***,procedural,liberal
Set3,Jobs for all,Jobs for all,-0.02009651460690649,0.016655101802533524,-1.206628145848347,0.22757538235562252,-0.0527405141398722,0.012547484926059217,-2.0,,substantive,welfare
Set3,Party competition,Party competition,0.030188343256111066,0.0189278253578344,1.594918733948263,0.11073040973628863,-0.00691019444524436,0.06728688095746649,+3.0,,procedural,electoral
Set4,Protest freedom,Protest freedom,0.01882780122756989,0.014121244174374466,1.333296202167251,0.18243461952388124,-0.008849837354204061,0.046505439809343845,+1.9,,procedural,liberal
Set4,Clean politics,Clean politics,-0.009370596307259558,0.01019806885727477,-0.9188598781204604,0.358168868135667,-0.029358811267518103,0.010617618652998989,-0.9,,governance,quality
Set4,Court protection,Court protection,0.01597298517363492,0.011307499763559633,1.4126009734805054,0.1577730826679566,-0.00618971436294196,0.0381356847102118,+1.6,,procedural,accountability
Set4,Unemployment aid,Unemployment aid,-0.025430190093947376,0.013408975148660948,-1.896505125262082,0.05789328291528611,-0.051711781385322834,8.514011974280825e-4,-2.5,†,substantive,welfare
W2,Elections,Elections,0.028601471506325884,0.01769299375774736,1.6165422255802215,0.10597713162382322,-0.00607679625885894,0.0632797392715107,+2.9,,procedural,electoral
W2,Criticize power,Criticize power,0.025931573280916453,0.01861199380048697,1.393272185607432,0.16353749827926428,-0.010547934568038004,0.06241108112987091,+2.6,,procedural,liberal
W2,Income equality,Income equality,-0.01807860733054518,0.008410907797602521,-2.1494240295558087,0.0316008023102286,-0.03456398661384612,-0.0015932280472442419,-1.8,*,substantive,redistribution
W2,Basic necessities,Basic necessities,-0.0364544374566957,0.010402906469418934,-3.50425504294012,4.5788660295791473e-4,-0.05684413413675681,-0.01606474077663459,-3.6,***,substantive,welfare
