country_name,pct_nonvoter,abstention_group,n_nonvoters
Australia,3.8715769593956564,Low (<20%),41
Cambodia,18.4,Low (<20%),598
Indonesia,8.308080808080808,Low (<20%),329
Japan,16.92913385826772,Low (<20%),430
Malaysia,22.954822954822955,High (≥20%),376
Mongolia,12.947739283617146,Low (<20%),441
Myanmar,33.441822620016275,High (≥20%),411
Philippines,17.608409986859396,Low (<20%),536
South Korea,17.075664621676893,Low (<20%),501
Taiwan,17.730320337720386,Low (<20%),714
Thailand,9.476584022038567,Low (<20%),172
