country_name,wave,N_total,N_voter,N_nonvoter,pct_nonvoter
Australia,6,1111,1070,41,3.7
Cambodia,3,1196,941,255,21.3
Cambodia,4,1195,994,201,16.8
Cambodia,6,1196,1054,142,11.9
Indonesia,3,1525,1400,125,8.2
Indonesia,4,1538,1424,114,7.4
Indonesia,6,1519,1429,90,5.9
Japan,3,1845,1592,253,13.7
Japan,4,1034,857,177,17.1
Malaysia,3,1017,790,227,22.3
Malaysia,4,1039,890,149,14.3
Mongolia,3,1202,1070,132,11
Mongolia,4,1226,1108,118,9.6
Mongolia,6,1261,1070,191,15.1
Myanmar,4,1567,1156,411,26.2
Philippines,3,1032,824,208,20.2
Philippines,4,1105,932,173,15.7
Philippines,6,1068,913,155,14.5
South Korea,3,1123,928,195,17.4
South Korea,4,1150,979,171,14.9
South Korea,6,1214,1079,135,11.1
Taiwan,3,1522,1325,197,12.9
Taiwan,4,1580,1331,249,15.8
Taiwan,6,1480,1212,268,18.1
Thailand,3,1494,1461,33,2.2
Thailand,4,1152,1064,88,7.6
Thailand,6,1115,1064,51,4.6
