Item,Loser,Non-voter,Winner,set,Loser - Winner,NonVoter - Winner,type
Reduce gap rich/poor,0.19901635594189637,0.2155910247513301,0.20874940561103186,Set1,-0.00973304966913549,0.0068416191402982385,substantive
Free elections,0.3464485874413817,0.33448993754337264,0.3698797636030161,Set1,-0.023431176161634426,-0.03538982605964347,procedural
No waste,0.19249685462655838,0.19222761970853575,0.18320766252292645,Set1,0.009289192103631938,0.0090199571856093,governance
Free expression,0.26203820199016353,0.2576914179967615,0.2381631682630256,Set1,0.023875033727137923,0.019528249733735875,procedural
Legislature oversight,0.15170816444701796,0.1279962764719572,0.1391519143680527,Set2,0.01255625007896527,-0.0111556378960955,procedural
Basic necessities,0.30839606253618995,0.33977193390737725,0.3272951832029642,Set2,-0.01889912066677424,0.012476750704413064,substantive
Organize groups,0.1679212507237985,0.16592971840819176,0.15527651982983395,Set2,0.012644730893964534,0.010653198578357809,procedural
Quality services,0.3719745222929936,0.3663020712124738,0.3782763825991492,Set2,-0.006301860306155593,-0.011974311386675374,governance
Law and order,0.25211643279601065,0.2730463266261114,0.29823839879361164,Set3,-0.04612196599760099,-0.025192072167500246,governance
Media freedom,0.20793227415052765,0.18366869443144596,0.16882582767838783,Set3,0.039106446472139816,0.014842866753058126,procedural
Jobs for all,0.34222428389191695,0.35657463734206835,0.3519775173075605,Set3,-0.009753233415643547,0.004597120034507851,substantive
Party competition,0.1977270091615447,0.18671034160037436,0.18095825622044007,Set3,0.016768752941104637,0.005752085379934296,procedural
Protest freedom,0.18803418803418803,0.193330223880597,0.184531979138073,Set4,0.003502208896115022,0.008798244742523997,procedural
Clean politics,0.37895587895587896,0.328125,0.36844633543782596,Set4,0.010509543518053,-0.040321335437825956,governance
Court protection,0.2259182259182259,0.25536380597014924,0.22810870161954433,Set4,-0.0021904757013184173,0.02725510435060491,procedural
Unemployment aid,0.2070917070917071,0.22318097014925373,0.21891298380455668,Set4,-0.011821276712849577,0.00426798634469705,substantive
