set,item_label,item_type,ame_controlled,sig_controlled,ame_uncontrolled,sig_uncontrolled,diff,diff_pct
Set1,Reduce gap rich/poor,substantive,-0.022298494491302934,*,-0.02367192425164468,*,0.0013734297603417468,+0.14
Set1,Free elections,procedural,-0.006000274736628369,,-0.005075298004394669,,-9.249767322337e-4,-0.09
Set1,No waste,governance,-0.004948924164861139,,-0.0052191764746045005,,2.702523097433615e-4,+0.03
Set1,Free expression,procedural,0.03324769339279226,*,0.033966398730642805,*,-7.187053378505462e-4,-0.07
Set2,Legislature oversight,procedural,0.007377527696667869,,0.009098443402796023,,-0.0017209157061281542,-0.17
Set2,Basic necessities,substantive,-0.03544211819030036,***,-0.0381249947654912,***,0.00268287657519084,+0.27
Set2,Organize groups,procedural,0.0366083325466852,*,0.03786819492460035,*,-0.001259862377915151,-0.13
Set2,Quality services,governance,-0.008543742053053036,,-0.008841643561908029,,2.979015088549926e-4,+0.03
Set3,Law and order,governance,-0.05356145325767561,***,-0.05255178899911805,***,-0.0010096642585575646,-0.10
Set3,Media freedom,procedural,0.040920174201597416,***,0.04245996034992838,***,-0.0015397861483309669,-0.15
Set3,Jobs for all,substantive,-0.016643606914195423,,-0.02009651460690649,,0.003452907692711067,+0.35
Set3,Party competition,procedural,0.029284885970273823,,0.030188343256111066,,-9.034572858372426e-4,-0.09
Set4,Protest freedom,procedural,0.016932663114019034,,0.01882780122756989,,-0.0018951381135508573,-0.19
Set4,Clean politics,governance,-0.010333917632005526,,-0.009370596307259558,,-9.633213247459676e-4,-0.10
Set4,Court protection,procedural,0.01506863540425104,,0.01597298517363492,,-9.043497693838817e-4,-0.09
Set4,Unemployment aid,substantive,-0.021667380886264628,†,-0.025430190093947376,†,0.0037628092076827484,+0.38
W2,Elections,procedural,0.02216298377868122,,0.028601471506325884,,-0.006438487727644663,-0.64
W2,Criticize power,procedural,0.020213048640723767,,0.025931573280916453,,-0.005718524640192686,-0.57
W2,Income equality,substantive,-0.016408080019673497,†,-0.01807860733054518,*,0.001670527310871684,+0.17
W2,Basic necessities,substantive,-0.02596795239973136,*,-0.0364544374566957,***,0.01048648505696434,+1.05
