country_name,wave_label,wave,n_total,n_loser,n_winner,pct_loser,set1_n,set2_n,set3_n,set4_n,min_set_n,small_sample,very_small
Australia,W6,6,1018,589,429,57.858546168958746,1015,1014,1016,1013,1013,FALSE,FALSE
Cambodia,W3,3,894,172,722,19.23937360178971,886,884,889,888,884,FALSE,FALSE
Cambodia,W4,4,907,297,610,32.74531422271224,902,898,901,894,894,FALSE,FALSE
Cambodia,W6,6,851,57,794,6.698002350176263,806,807,786,768,768,FALSE,FALSE
Indonesia,W3,3,1144,493,651,43.09440559440559,1014,1020,1001,1006,1001,FALSE,FALSE
Indonesia,W4,4,1123,595,528,52.98308103294747,1030,1006,999,1008,999,FALSE,FALSE
Indonesia,W6,6,1364,447,917,32.77126099706745,1262,1249,1259,1249,1249,FALSE,FALSE
Japan,W3,3,1348,577,771,42.804154302670625,1316,1274,1298,1301,1274,FALSE,FALSE
Japan,W4,4,762,347,415,45.53805774278215,733,701,711,709,701,FALSE,FALSE
Malaysia,W3,3,589,89,500,15.110356536502549,571,565,566,562,562,FALSE,FALSE
Malaysia,W4,4,673,150,523,22.288261515601786,658,655,652,654,652,FALSE,FALSE
Mongolia,W3,3,1027,412,615,40.116845180136316,1005,990,1003,998,990,FALSE,FALSE
Mongolia,W4,4,1054,346,708,32.82732447817837,1027,1019,1023,1028,1019,FALSE,FALSE
Mongolia,W6,6,884,189,695,21.380090497737555,825,811,815,833,811,FALSE,FALSE
Myanmar,W4,4,818,405,413,49.511002444987774,738,720,723,722,720,FALSE,FALSE
Philippines,W3,3,748,415,333,55.481283422459896,748,748,748,743,743,FALSE,FALSE
Philippines,W4,4,894,179,715,20.022371364653242,885,883,884,873,873,FALSE,FALSE
Philippines,W6,6,866,260,606,30.023094688221708,858,857,858,855,855,FALSE,FALSE
South Korea,W3,3,774,273,501,35.27131782945737,743,711,735,738,711,FALSE,FALSE
South Korea,W4,4,786,295,491,37.531806615776084,779,760,756,769,756,FALSE,FALSE
South Korea,W6,6,873,375,498,42.955326460481096,870,865,867,871,865,FALSE,FALSE
Taiwan,W3,3,1139,376,763,33.01141352063213,1112,1100,1093,1100,1093,FALSE,FALSE
Taiwan,W4,4,1150,516,634,44.869565217391305,1123,1116,1110,1115,1110,FALSE,FALSE
Taiwan,W6,6,1024,326,698,31.8359375,1008,1012,1012,1008,1008,FALSE,FALSE
Thailand,W3,3,885,449,436,50.73446327683616,824,825,798,807,798,FALSE,FALSE
Thailand,W4,4,413,227,186,54.9636803874092,396,387,382,389,382,FALSE,FALSE
Thailand,W6,6,345,226,119,65.5072463768116,330,332,327,329,327,FALSE,FALSE
