variable,Cambodia,Vietnam,Thailand
q11,18.92109500805153,NA,NA
q143a,18.115942028985508,100,14.166666666666666
q139b,17.06924315619968,NA,NA
q143b,16.908212560386474,100,14.000000000000002
q168,16.666666666666664,11.883589329021827,19.5
q8,16.425120772946862,NA,NA
q143d,16.344605475040257,100,15.666666666666668
q139a,14.975845410628018,NA,NA
q143c,14.734299516908212,100,15.166666666666668
q131,13.929146537842191,NA,11.25
q10,13.848631239935589,NA,NA
q169,13.365539452495975,NA,16.833333333333332
q172c,13.043478260869565,NA,11.25
emergency_q172c,13.043478260869565,NA,11.25
q139d,12.88244766505636,NA,NA
se5a,12.88244766505636,NA,NA
q92,12.238325281803544,NA,10.583333333333334
q132,12.157809983896941,NA,13.416666666666666
q129,11.916264090177133,NA,13.083333333333332
q171,11.83574879227053,NA,15.416666666666668
q91,10.869565217391305,NA,NA
q139c,10.869565217391305,NA,NA
q172d,10.7085346215781,10.185933710590138,11.166666666666666
emergency_q172d,10.7085346215781,10.185933710590138,11.166666666666666
q130,10.628019323671497,NA,12.666666666666668
q170,10.628019323671497,10.913500404203718,15.25
q172e,10.38647342995169,NA,14.333333333333334
emergency_q172e,10.38647342995169,NA,14.333333333333334
q143e,NA,100,13.583333333333334
q128,NA,NA,12.083333333333334
q126,NA,NA,12.083333333333334
q127,NA,NA,15.166666666666668
q172b,NA,NA,10.666666666666668
emergency_q172b,NA,NA,10.666666666666668
